word	rank_a	rank_b	english
pomoći	248	261	help
vrlo	249	255	very, extremely
nakon	250	294	after
zajedno	251	239	together
vidiš	252	218	second-person singular present of videti and vidjeti
niko	253	202	no one, nobody
dušo	254	240	soul
sebe	255	241	myself
ova	256	249	feminine nominative singular
dosta	257	245	enough, sufficiently
odavde	258	250	from here
ma	259	263	bah, whatever
kroz	260	265	through
drago	261	256	to be glad, pleased, delighted
vrata	262	269	neck
vidio	263	540	to see
koga	264	252	of whom
nekoliko	265	275	some, several, a few
siguran	266	273	sure, certain
mogla	267	264	can, to be able to
došao	268	244	to come, arrive
brzo	269	270	quickly, rapidly
način	270	257	way, method, approach, manner
njim	271	272	him
pod	272	279	under, beneath
vidjeti	273	528	to see
zaista	274	268	indeed
svaki	275	297	every, each
par	276	276	pair, couple
gore	277	290	up, above
unutra	278	309	inside, indoors, in
dođi	279	274	to come, arrive
ovu	280	291	this, this one
ići	281	347	to go, walk
dugo	282	278	for a long time
desilo	283	258	to happen, occur
ponovo	284	262	repeatedly, once again
mali	285	302	small
mogli	286	296	can, to be able to
minuta	287	307	minute
protiv	288	300	against
pravo	289	293	straight
isto	290	292	as well, also, too, likewise
nama	291	298	to us
previše	292	281	too much / too many
naš	293	282	our, ours
ćete	294	289	second-person plural present of htȅti/htjȅti
mog	295	285	genitive masculine/neuter
ovako	296	286	in this way, thus, like so
imaju	297	324	to have, possess, own
prvo	298	299	that which is the first
noć	299	277	night, nighttime
nećeš	300	267	to wish, want, desire
loše	301	280	bad, malicious
imala	302	316	to have, possess, own
pusti	303	325	to let, let go, release
preko	304	326	over
osim	305	315	except, besides
vaš	306	288	your, yours
mjesto	307	660	instead of
vama	308	303	to you
imati	309	357	to have, possess, own
kasnije	310	305	later on, afterwards
majka	311	313	mother
naći	312	338	to find, discover
večeras	313	283	this evening
ovom	314	314	this, this one
momci	315	312	a young man, lad
dakle	316	331	so, thus, therefore
budem	317	260	to be, to exist
pravi	318	310	pure, true, genuine
auto	319	342	car, automobile
video	320	193	to see
teško	321	295	heavily
niste	322	306	to be, to exist
doći	323	327	to come, arrive
vratiti	324	390	to return, come back
čovjek	325	640	man, person
one	326	329	they; nonvirile third-person plural pronoun, used for all…
ljude	327	333	people, men
želite	328	328	to wish, desire
broj	329	352	number
čuo	330	301	to hear
radio	331	346	to work
imali	332	343	to have, possess, own
njegov	333	336	his
istina	334	332	truth
zapravo	335	360	in fact, really, actually
mislite	336	322	to think
znati	337	447	to know
zove	338	341	to call, to be called
misli	339	340	to think
sviđa	340	318	to like, please
budi	341	339	second-person singular imperative of bȉti
pomoć	342	319	help
ruke	343	355	arm
ju	344	422	her
kakav	345	334	what kind of
tip	346	375	type
nju	347	353	her
pet	348	359	five
netko	349	526	someone, somebody
uz	351	358	up, upward
izvinite	352	287	sorry!
ideš	353	320	to go, walk
rekli	354	349	to say
onaj	355	350	that, that one
čini	356	344	third-person present singular of čìniti
mrtav	357	364	dead, deceased
kuće	358	323	house
vezi	359	361	connection, link
oprosti	360	482	sorry!
prijatelj	361	377	friend
svojim	362	376	one's own
novi	363	372	new
ubiti	364	454	to kill, murder
raditi	365	512	to work
iza	366	381	behind
no	367	519	but, however
lepo	368	228	beautifully, nicely
bit	369	607	essence
svog	370	369	one's own
lijepo	371	676	beautifully, nicely
veze	372	366	connection, link
dobio	373	380	to receive, get, obtain, acquire
otišao	374	354	to leave, part, depart
otići	375	419	to leave, part, depart
sebi	376	362	to myself
posla	377	374	job
jednostavno	378	408	simply
e	379	484	hey
znala	380	384	to know
nekoga	381	407	genitive of nȅtko / nȅko
života	382	363	life
sin	383	387	son
govori	384	389	speech
bismo	385	368	first-person plural aorist of bȉti
njima	386	388	to them
sama	387	382	self
poput	388	439	like, as, such as
ipak	389	370	still, however, but, yet, anyway, nevertheless,…
oprostite	390	530	sorry!
njom	391	397	her
pitanje	392	391	question
nekog	393	367	genitive of nȅtko / nȅko
ćao	394	317	hi!
budeš	395	335	to be, to exist
srce	396	395	a heart
voli	397	393	to love
skoro	398	386	soon
nazad	399	392	back, backwards
učiniti	400	492	to do, make
uraditi	401	557	to do, make
priča	402	365	story, tale
halo	403	436	hello
vidite	404	379	second-person plural present
radimo	405	401	to work
gotovo	406	409	almost, hardly
dati	407	505	to give
briga	408	418	worry, concern
van	409	500	except
dio	410	798	part
žene	411	383	genitive singular
bar	412	371	at least
razgovarati	413	585	to cheer up sb
ovoga	414	415	filled pause; er, uh, um
njemu	415	398	to him
sjajno	416	406	great, magnificently, excellently
posle	417	266	later
najbolje	418	403	superlative degree of dòbro
biće	419	308	to be, to exist
jutro	420	402	morning
spreman	421	437	ready, prepared
jedini	422	444	sole, only
strane	423	428	side
došli	424	394	to come, arrive
dvije	425	797	two
drži	426	413	to hold, grasp
mesto	427	251	instead of
brini	428	420	to worry
uskoro	429	405	soon
tačno	430	337	exactly, correctly
dijete	431	800	child, kid
nitko	432	639	no one, nobody
potpuno	433	412	completely, entirely, wholly
dole	434	356	down
trenutak	435	411	moment
stari	436	483	old
bog	437	425	god, deity
oca	438	404	father
mala	439	460	small
tada	440	414	then, at that time
sat	441	452	clock, watch
važno	442	396	importantly
čovek	443	224	man, person
pitam	444	399	to ask
ostati	445	527	to stay, remain
stalno	446	423	continuously
rade	447	465	to work
ozbiljno	448	448	seriously
ideja	449	445	idea
morao	450	443	to have to; must
vjerujem	451	875	to believe, have faith in
tek	452	433	only, only just, hardly, barely
ljubav	453	429	love, affection
ranije	454	421	early
grad	455	459	city, town
ponekad	456	427	sometimes
došla	457	424	feminine singular active past participle
odlično	458	385	excellently, terrifically
bok	459	619	side
pola	460	451	half
nemaš	461	431	not to have
lako	462	440	easily
napraviti	463	636	to do, commit
našao	464	426	to find, discover
između	465	442	between
osoba	466	487	person
pazi	467	478	to beware, watch out, be careful
sata	468	481	clock, watch
velika	469	467	big, large
vise	470	951	third-person plural present of vȉsiti
radite	471	462	to work
ovoj	472	471	wrapping, shell, casing, covering
jasno	473	469	clearly, obviously
najbolji	474	475	good
napravio	475	552	to do, commit
valjda	476	434	probably, likely
nemamo	477	486	not to have
ruku	478	490	arm
pred	479	464	before, just before, shortly before
ženu	480	446	woman
prava	481	456	pure, true, genuine
čega	482	410	of what
dvoje	483	493	two
ikada	484	480	ever, at any time
svih	485	472	all, complete, whole
blizu	486	494	near, close
brat	487	477	brother
kraj	488	466	near, next to, beside
policija	489	514	police
ljudima	490	485	people, men
životu	491	438	life
kuću	492	432	house
plan	493	513	plan
