word	rank_a	rank_b	english
vítima	1820	840	victim
estudar	1822	1771	to study
pensou	1837	1647	to think
chaves	1869	1409	key
desapareceu	1872	919	to disappear; to vanish
voo	1877	1507	to fly
ovos	1890	1917	egg
limpo	1901	1463	to clean
escuro	1924	1683	dark
dono	1925	1631	owner
ouvir	1933	335	to hear
doente	1960	774	sick
bebe	1983	1824	to drink
visitar	1994	1835	to visit
