word	rank_a	rank_b	english
oprosti	246	482	sorry!
tebi	247	225	to you
njih	248	243	of them
lijepo	249	676	beautifully, nicely
dakle	250	331	so, thus, therefore
vrata	251	269	neck
godine	252	231	year
želite	253	328	to wish, desire
vidimo	254	214	first-person plural present
puta	255	230	times
sranje	256	259	A very difficult situation, big trouble
sebe	257	241	myself
vaš	258	288	your, yours
razgovarati	259	585	to cheer up sb
čini	260	344	third-person present singular of čìniti
naći	261	338	to find, discover
nekoliko	262	275	some, several, a few
pravu	263	232	pure, true, genuine
dušo	264	240	soul
dalje	265	238	far
zajedno	266	239	together
drago	267	256	to be glad, pleased, delighted
problem	268	246	problem
previše	269	281	too much / too many
imati	270	357	to have, possess, own
kroz	271	265	through
siguran	272	273	sure, certain
poput	273	439	like, as, such as
sutra	274	237	tomorrow
vratiti	275	390	to return, come back
ma	276	263	bah, whatever
zapravo	277	360	in fact, really, actually
ovamo	279	253	hither, this way
dođi	280	274	to come, arrive
jedna	281	254	one
mogla	282	264	can, to be able to
dugo	283	278	for a long time
otići	284	419	to leave, part, depart
pravo	285	293	straight
gore	286	290	up, above
točno	287	792	exactly, correctly
svaki	288	297	every, each
pod	289	279	under, beneath
vidiš	290	218	second-person singular present of videti and vidjeti
vama	291	303	to you
osim	292	315	except, besides
radim	293	216	to work
oprostite	294	530	sorry!
naš	295	282	our, ours
njim	296	272	him
dosta	297	245	enough, sufficiently
raditi	298	512	to work
ova	299	249	feminine nominative singular
noć	300	277	night, nighttime
mogli	301	296	can, to be able to
ubiti	302	454	to kill, murder
niste	303	306	to be, to exist
teško	304	295	heavily
čuo	305	301	to hear
dobio	306	380	to receive, get, obtain, acquire
ovde	307	43	here
odavde	308	250	from here
koga	309	252	of whom
brzo	310	270	quickly, rapidly
protiv	311	300	against
nećeš	312	267	to wish, want, desire
loše	313	280	bad, malicious
dijete	314	800	child, kid
večeras	315	283	this evening
vjerojatno	316	881	probably
par	317	276	pair, couple
unutra	318	309	inside, indoors, in
pomoć	319	319	help
sviđa	320	318	to like, please
nama	321	298	to us
mislite	322	322	to think
dio	323	798	part
isto	324	292	as well, also, too, likewise
dvije	325	797	two
auto	326	342	car, automobile
istina	327	332	truth
ovu	328	291	this, this one
neko	329	133	someone, somebody
imala	330	316	to have, possess, own
napraviti	331	636	to do, commit
mali	332	302	small
imaju	333	324	to have, possess, own
njegov	334	336	his
ljude	335	333	people, men
dolje	336	945	down
minuta	337	307	minute
ovako	338	286	in this way, thus, like so
bismo	339	368	first-person plural aorist of bȉti
ko	340	85	who
prvo	341	299	that which is the first
rekli	342	349	to say
mog	343	285	genitive masculine/neuter
uz	344	358	up, upward
tip	345	375	type
imali	346	343	to have, possess, own
sto	347	311	hundred
preko	348	326	over
van	349	500	except
ovom	350	314	this, this one
vjerujem	351	875	to believe, have faith in
otišao	352	354	to leave, part, depart
kuće	353	323	house
dati	354	505	to give
misli	355	340	to think
pravi	356	310	pure, true, genuine
zove	357	341	to call, to be called
mrtav	358	364	dead, deceased
broj	359	352	number
majka	360	313	mother
prijatelj	361	377	friend
one	362	329	they; nonvirile third-person plural pronoun, used for all…
radio	363	346	to work
ruke	364	355	arm
kasnije	365	305	later on, afterwards
vjerovati	366	920	to believe, have faith in
natrag	367	795	back, backwards
pet	368	359	five
jednostavno	369	408	simply
pusti	370	325	to let, let go, release
ostati	371	527	to stay, remain
novi	372	372	new
obitelj	373	1056	family
nekoga	374	407	genitive of nȅtko / nȅko
kakav	375	334	what kind of
gotovo	376	409	almost, hardly
onaj	377	350	that, that one
svojim	378	376	one's own
veze	379	366	connection, link
govori	380	389	speech
poslije	381	928	later
iza	382	381	behind
nju	383	353	her
napravio	384	552	to do, commit
posla	385	374	job
života	386	363	life
stari	387	483	old
došli	388	394	to come, arrive
budi	389	339	second-person singular imperative of bȉti
važno	390	396	importantly
ipak	391	370	still, however, but, yet, anyway, nevertheless,…
svog	392	369	one's own
pitanje	393	391	question
uopće	394	1063	generally, in general
zaista	395	268	indeed
njemu	396	398	to him
znala	397	384	to know
ideš	398	320	to go, walk
njima	399	388	to them
njom	400	397	her
želio	401	986	to wish, desire
sin	402	387	son
vezi	403	361	connection, link
sama	404	382	self
jest	405	933	third-person singular present of bȉti
također	406	1096	likewise, also, too
žene	407	383	genitive singular
tada	408	414	then, at that time
trenutak	409	411	moment
jutro	410	402	morning
bog	411	425	god, deity
vidjeli	412	1113	to see
valjda	413	434	probably, likely
između	414	442	between
biste	415	468	genitive singular
priča	416	365	story, tale
briga	417	418	worry, concern
volio	418	1054	to love
pronaći	419	692	to find
uzeti	420	646	to take
slučaj	421	470	case, occurrence, event, incident
najbolje	422	403	superlative degree of dòbro
morao	423	443	to have to; must
bar	424	371	at least
uskoro	425	405	soon
ha	426	590	expresses laughter
spreman	427	437	ready, prepared
ozbiljno	428	448	seriously
voli	429	393	to love
jasno	430	469	clearly, obviously
oca	431	404	father
noći	432	435	night, nighttime
svijet	433	1222	world
srce	434	395	a heart
riječ	435	1188	word
sebi	436	362	to myself
drži	437	413	to hold, grasp
sat	438	452	clock, watch
kuću	439	432	house
čudno	440	449	oddly, weirdly, strangely
gde	441	71	where
jedini	442	444	sole, only
došla	443	424	feminine singular active past participle
osoba	444	487	person
ovoga	445	415	filled pause; er, uh, um
sjajno	446	406	great, magnificently, excellently
potpuno	447	412	completely, entirely, wholly
moći	448	430	can, to be able to
žele	449	525	jelly
čega	450	410	of what
odlično	451	385	excellently, terrifically
veoma	452	199	very, very much, extremely
prilično	453	498	rather, pretty, quite, fairly
grad	454	459	city, town
našao	455	426	to find, discover
tek	456	433	only, only just, hardly, barely
budem	457	260	to be, to exist
ženu	458	446	woman
životu	459	438	life
sretan	460	979	happy, merry
nemaš	461	431	not to have
halo	462	436	hello
oči	463	457	eye
kojeg	464	717	masculine genitive singular
nećemo	465	450	to wish, want, desire
nekog	466	367	genitive of nȅtko / nȅko
ikada	467	480	ever, at any time
stalno	468	423	continuously
lako	469	440	easily
dečki	470	1117	boy
strane	471	428	side
četiri	472	496	four
svijetu	473	1250	world
vidite	474	379	second-person plural present
sata	475	481	clock, watch
velika	476	467	big, large
ideja	477	445	idea
najbolji	478	475	good
pred	479	464	before, just before, shortly before
dvoje	480	493	two
ljudima	481	485	people, men
skoro	482	386	soon
ljubav	483	429	love, affection
blizu	484	494	near, close
svih	485	472	all, complete, whole
e	486	484	hey
nemamo	487	486	not to have
jesu	488	559	third-person plural present of bȉti
kraj	489	466	near, next to, beside
vani	490	1090	outside, outdoors, out
oružje	491	542	weapon
momci	492	312	a young man, lad
negdje	493	1264	somewhere
ponekad	494	427	sometimes
brat	495	477	brother
plan	496	513	plan
ruku	497	490	arm
ponovno	498	1221	repeatedly, once again
pola	499	451	half
dečko	500	539	boy
vratio	501	499	to return, come back
brod	502	522	ship
moguće	503	503	possibly
policija	504	514	police
k	505	701	to
kamo	506	1152	where, in which direction, whither
rade	507	465	to work
prava	508	456	pure, true, genuine
svom	509	504	one's own
djevojka	510	1329	girl, maiden
pojma	511	516	concept, idea, notion
radite	512	462	to work
brini	513	420	to worry
razlog	514	538	reason, cause
mjesta	515	1297	place
sinoć	516	529	last night, yesterday night; yesterday evening
pištolj	517	549	pistol, handgun
niti	518	666	nor
tijelo	519	1391	body
kažu	520	473	to say, to state
daleko	521	523	far
lice	522	507	face
tjedan	523	1252	week
mala	524	460	small
smrt	525	508	death
našli	526	535	to find, discover
ovoj	527	471	wrapping, shell, casing, covering
radimo	528	401	to work
živi	529	458	live, alive
draga	530	463	bay, gulf
mjestu	531	1381	place
manje	532	520	less
barem	533	677	at least
sina	534	515	shadow; shade
umrijeti	535	1435	to die
novca	536	524	money
svega	537	501	masculine genitive singular
pazi	538	478	to beware, watch out, be careful
sobu	539	518	room
ikad	540	572	ever, at any time
pitati	541	912	to ask
šest	542	545	six
svima	543	531	everyone, everybody
budeš	544	335	to be, to exist
ponovo	545	262	repeatedly, once again
kraju	546	495	end, ending
polako	547	489	slowly
nje	548	521	of her
oboje	549	594	both
čujem	550	488	to hear
djeca	551	1415	children
voliš	552	476	to love
pitam	553	399	to ask
pogledajte	554	599	to look, glance, cast an eye upon
spremni	555	579	ready, prepared
želimo	556	600	to wish, desire
umro	557	558	to die
sobi	558	546	room
čula	559	534	to hear
ranije	560	421	early
šanse	561	517	chance, opportunity
čim	562	551	the, as
odakle	563	497	whence, from where
čuti	564	906	to hear
vodi	565	511	water
iako	566	573	albeit, although, even though
laku	567	506	easy
uzeo	568	581	to take
ispod	569	550	below, under, beneath
dajte	570	575	to give
njoj	571	561	to her
nekako	572	553	somehow
njegove	573	562	his
otišla	574	548	to leave, part, depart
gledati	575	917	to watch, look, see
morati	576	615	to have to; must
vode	577	554	water
krv	578	578	blood
poruku	579	580	message
smiješno	580	1402	ridiculously, funnily
dođe	581	547	to come, arrive
dragi	582	544	dear
gradu	583	574	city, town
doma	584	1138	at home, home
piće	585	568	drink, beverage
ujutro	586	818	in the morning
zbilja	587	1170	indeed
živjeti	588	1570	to live, exist, be alive
bile	589	537	moreover, even
sestra	590	587	sister
zanima	591	659	to interest
pričati	592	872	to narrate, tell
ostani	593	592	to stay, remain
ostaviti	594	802	to leave
putu	595	606	road
jedino	596	567	only, solely
rat	597	597	war
poziv	598	654	call
znali	599	650	to know
ubojstvo	600	1866	murder
očito	601	1118	obviously
pitao	602	608	to ask
ubojica	603	1776	murderer, killer
telefon	604	584	telephone
ovome	605	593	this, this one
takav	606	596	such, of such kind
dogoditi	607	1017	to happen
kuća	608	589	house
isti	609	614	same
zadnji	610	850	back, rear, hind
deset	611	602	ten
ispred	612	565	in front of, before
boli	613	634	to stab
sastanak	614	560	tryst
ondje	615	1605	there, over there
nekim	616	583	instrumental of nȅtko / nȅko
naprijed	617	1642	forward, forwards
jedina	619	616	sole, only
time	620	697	masculine/neuter instrumental singular of tȃj
san	621	582	sleep
govoriti	622	1112	to speak, talk, converse
priliku	623	719	opportunity
pre	624	117	before, earlier
svim	625	620	masculine/neuter instrumental singular
neku	626	510	some
tih	627	655	quiet, silent
zemlji	628	605	earth
uvek	629	123	always
poslu	630	633	job
doista	631	1616	truly, indeed
večer	632	1628	evening
čuli	633	681	to hear
poslao	634	657	to send
zemlju	635	621	earth
tražio	636	631	to seek, look for, search
jutros	637	651	this morning
muž	638	601	husband
igra	639	586	to play
zovem	640	563	to call, to be called
nazvati	641	1143	to name
ovih	642	591	masculine genitive plural
drugu	643	630	friend
miru	644	626	peace
čeka	645	635	to wait, await
stan	646	680	flat, apartment
shvatio	647	669	to understand, comprehend, grasp, conceive
izaći	648	883	to go out, leave, come out, get out
ostali	649	625	to stay, remain
živ	650	661	live, alive
vijesti	651	1675	news
tjedna	653	1734	week
pustiti	654	891	to let, let go, release
jučer	655	1684	yesterday
kriv	656	682	guilty, culpable
čekati	657	1083	to wait, await
odgovor	658	667	answer
inače	659	707	otherwise
pokazati	660	980	to show, demonstrate
odvesti	661	882	to take, take away
jesmo	662	721	first-person plural present of bȉti
film	663	609	film
ovi	664	595	this, this one
druga	665	623	friend
jedva	666	652	barely, hardly, scarcely, only just
među	667	675	between
sljedeći	668	1873	next, following
mjesec	669	1694	moon
desilo	670	258	to happen, occur
obično	671	649	usually, commonly, ordinarily
sine	672	588	son
brata	673	658	brother
krevet	674	637	bed
zatim	675	838	then, afterwards
vrsta	676	730	kind, sort
piše	677	656	to write
lud	678	643	crazy
kojem	679	1032	which, what
dali	680	662	masculine plural active past participle of dȁti
svakako	681	665	certainly, of course
gle	682	1185	look, behold
grada	683	674	city, town
ući	684	1012	to enter, go into, come in
umjesto	685	1727	instead of
pored	686	461	beside, next to, alongside
nećete	687	687	to wish, want, desire
djece	688	1808	children
vreme	690	135	time
kraja	691	648	end, ending
čuješ	692	618	to hear
