word	rank_a	rank_b	english
pemilik	1196	1053	owner
hijau	1201	905	green
menolong	1202	932	to help
serigala	1204	1078	wolf
restoran	1208	1063	restaurant
roti	1210	1038	bread
bangunan	1223	564	building
nakal	1229	1125	naughty
umur	1237	804	age
pengalaman	1240	1084	experience
menawarkan	1256	1204	to offer
teknologi	1260	1047	technology
puluh	1265	1066	ten
keuntungan	1277	1346	gain
dahulu	1281	583	before, earlier, previously
lambat	1296	851	slow
perjanjian	1297	671	agreement
berdasarkan	1298	1068	based on, founded on
memasuki	1300	1058	to enter
bermimpi	1301	1152	to dream
peta	1303	968	map
kebakaran	1313	1170	conflagration
sarapan	1325	1157	breakfast
sembilan	1326	1154	nine
dana	1332	1493	fund
merokok	1333	1323	to smoke
besi	1334	812	iron
berenang	1341	1081	to swim
kayu	1342	1009	wood
kasihan	1392	1107	pitiful
sebaliknya	1404	992	on the contrary
gudang	1407	1377	warehouse
hadir	1417	1199	to be present
berhak	1436	1056	to have rights
susu	1438	1230	milk
tali	1442	662	rope
belas	1448	1099	-teen
pantat	1449	1993	arse, ass
botol	1452	1178	bottle
keadilan	1461	1020	justice
menara	1475	988	tower
susah	1486	646	difficult
angkatan	1487	1394	lift, a rise; a degree of elevation
angka	1497	1701	numeral
telanjang	1502	1955	naked, not wearing any clothes
racun	1505	1273	poison
topi	1507	895	hat
bangsat	1522	1402	asshole, son of a bitch
pelanggan	1523	941	customer
kolam	1526	1282	pond
sumpah	1528	1106	seriously, no joke, I swear, on God - emphasizing the…
kaca	1533	1197	glass
tulis	1538	896	to write
internet	1548	1222	internet
basah	1554	1433	wet
kecewa	1560	1050	disappointed
berikut	1566	1488	to follow
rindu	1567	1217	to yearn for; to long for
monyet	1568	956	monkey
mi	1582	1696	noodle
serta	1607	1042	as well as; and
penulis	1608	1606	writer
ketat	1613	1124	tight
pasir	1634	1297	sand
urus	1647	1802	to manage
sembunyi	1661	1320	to hide
ajaib	1667	1336	magical
ingatan	1668	1198	memory
tekan	1678	987	to press
lengan	1686	1262	arm
lebah	1690	1575	bee
mengajar	1691	766	to teach
berniat	1706	1469	to intend
dosa	1709	1318	sin
puas	1710	1512	satisfied
papan	1713	1149	plank
kering	1726	1362	dry
sayap	1731	1294	wing
menyala	1739	1726	active of nyala
walau	1742	836	even if
sasaran	1751	596	target
tanaman	1752	1862	planted plant
gemuk	1754	1109	fat
penderitaan	1760	1435	affliction, distress, suffering, misery
bukit	1766	1452	hill
lautan	1775	1033	ocean
gelombang	1776	1461	wave
madu	1787	1284	honey
tawaran	1793	1051	offer
asap	1804	1366	smoke
penumpang	1805	1138	passenger
keselamatan	1810	453	safety
singa	1813	1283	lion
kuning	1818	1330	yellow
seragam	1822	1542	uniform
ringan	1827	1440	light
kimia	1828	1492	chemistry
rumput	1831	1599	grass
jual	1834	927	to sell
roda	1836	1550	wheel
perbuatan	1840	1214	act, deed
gelas	1876	1620	glass
gula	1884	1391	sugar
keturunan	1885	1310	descendant
leher	1902	994	neck
abu	1922	1500	ash
kencing	1931	1210	to urinate
risiko	1932	997	risk
perak	1944	1372	silver
dimakan	1946	1519	to eat
cat	1971	1407	paint
hidung	1977	1233	nose
wartawan	1982	1304	journalist
keju	1987	1437	cheese
ganja	1988	1531	marijuana
awan	2000	1361	cloud
