rank	word	english
289	falta	foul
290	atsegin	pleasant
291	modu	way, manner
292	zuzen	correctly
293	ikasi	to learn
294	buruan	head
295	hilabete	month
296	milesker	contraction of mila esker
297	haien	that
298	e	The name of the Latin script letter E/e
299	irakurri	to read
300	jaitsi	to go down, come down, descend
301	beren	the same
302	min	bitter, spicy
303	neu	First-person singular personal pronoun; I
304	sei	six
305	eduki	to support, sustain
306	bigarren	second
307	moztu	to cut, shear. shave
308	edozein	any
309	ukitu	to touch
310	seme	son
311	zeren	since, because
312	onartu	to accept
313	izugarri	terrible
314	apur	crumb
315	toki	place
316	har	worm, caterpillar
317	aurka	against, opposite
318	zaindu	to take care, look after
319	bete	to fill
320	gisa	as, like, in the manner of
321	aste	week
322	gertu	ready, prepared
323	bihurtu	to become, turn into
324	ezkondu	to marry
325	eguna	day
326	esku	hand
327	lasaitu	to calm down, to simmer down
328	nagusi	main, principal
329	esnatu	to wake up, to awake
330	zeu	Second-person singular personal pronoun; you
331	garbi	clean
332	musika	music
333	atzo	yesterday
334	borroka	battle, fight, combat
335	askatu	to free, to liberate
336	gorroto	hatred
337	itxoin	to wait for, to await
338	talde	group
339	honi	this
340	bale	okay
341	mundua	world
342	soilik	just, only
343	pasatu	to pass, to cross, to traverse
344	erori	fallen
345	mina	bitter, spicy
346	aurre	front
347	gazte	young
348	arma	weapon
349	hartan	that
350	sortu	to originate, to emerge, to be born
351	huts	zero
352	ura	water
353	izen	name
354	jantzi	clothes, clothing
355	bart	last night
356	gogor	hard
357	zehar	across, through
358	saldu	to sell
359	salbatu	to save, rescue
360	erre	to burn
361	egunero	every day
362	zertaz	what
363	amets	dream
364	motel	stammerer
365	bueno	well
366	zorionak	congratulations, congrats
367	hark	that
368	hamar	ten
369	bilatu	to search, to look for
370	buruari	head
371	txanda	shift, turn
372	mutiko	kid, young boy
373	garbitu	to clean, to wipe
374	ur	water
375	heriotza	death
376	garai	time, moment
377	lapurtu	to steal
378	azpian	under
379	edozer	anything
380	gorde	to store, to save
381	joko	game
382	inori	anyone, anybody
383	haserre	anger
384	baldin	Used before a conditional verb form to show emphasis
385	auto	automobile, car
386	desagertu	to disappear, go away
387	erdi	half
388	asmatu	to imagine, think up, figure out
389	konpondu	to repair, fix, mend
390	aukeratu	to choose, pick
391	barre	laughter
392	jota	The name of the Latin script letter J/j
393	aitaren	father
394	hanka	leg
395	jaio	to be born
396	ergel	silly, stupid
397	liburu	book
398	bikain	excellently
399	konturatu	to realize, to notice
400	zabaldu	to open out
401	hizkuntza	language
402	bizkor	soon
403	hiri	Second-person singular personal pronoun; you
404	eragin	influence
405	osaba	uncle
406	burutik	head
407	eusko	Basque
408	agertu	to appear, become visible
409	arabera	according to, per
410	estatu	state
411	arropa	apparel
412	adi	attentively, alertly
413	zahar	old, aged
414	harro	arrogant
415	zuzenean	live
416	festa	feast, festival
417	igaro	to pass, to cross
418	atxilotu	to arrest
419	jainko	god, deity
420	historia	history
421	jokatu	to play
422	errege	king
423	mota	type, kind, class
424	eder	beautiful, pretty, handsome
425	bidaia	trip, travel
426	negar	weeping
427	haur	child
428	datorren	next
429	goiz	morning
430	zor	debt
431	azaldu	to explain
432	lur	earth, soil
433	zazpi	seven
434	bildu	to gather, collect, accumulate, compile
435	gaua	night
436	gustatu	to like
437	korrika	running
438	ate	door, entrance
439	dei	call, appeal
440	herri	village, town
441	adibidez	for example
442	de	The name of the Latin script letter D/d
443	san	Saint
444	jaun	lord
445	gera	The name of the Latin script letter G/g
446	aldia	absolutive singular of aldi
447	pistola	pistol, gun
448	geure	First-person plural personal pronoun; we, we ourselves
449	argazki	photo, photograph
450	ezkutatu	to hide, conceal
451	guzti	all
452	hazi	seed
453	jadanik	already
454	nolako	like what, what kind of
455	ardura	often, usually
456	etxeko	house
457	nekatuta	tired
458	zuzena	right, correct
459	babestu	to protect
460	luze	widely
461	bero	warmly
462	eskola	school
463	kalean	street
464	giltza	key
465	amaiera	end, ending
466	era	manner
467	guri	First-person plural personal pronoun; we
468	mezu	message
469	dantza	dance, dancing
470	arnasa	breath, act of breathing
471	txakur	dog
472	i	The name of the Latin script letter I/i
473	arreba	sister
474	lurra	earth, soil
475	eskaini	to offer
476	buru	head
477	opari	gift, present
478	hautsi	to break
479	bakar	only, unique
480	musu	kiss
481	gauez	night
482	arreta	attention, care, consideration
