rank	word	english
321	politiet	police
322	fejl	wrongly, erroneously, mis-
323	s	abbreviation of springer
324	senere	later
325	bilen	car, automobile
326	håber	to hope
327	kvinde	A woman
328	hører	to hear
329	haft	to have, have got
330	virker	work, labor
331	herfra	from here; hence
332	fire	four
333	l	abbreviation of løber
334	tænkte	to think
335	kommet	to come
336	sket	be
337	dør	die
338	helvede	hell
339	hus	house, harbour
340	fortæl	to tell, to report
341	rolig	calm, quiet, peaceful
342	venter	wait
343	hurtigt	rapidly, expeditiously
344	frem	forward, toward
345	klare	to manage, to handle, to cope
346	kører	to drive
347	ny	new
348	heller	either
349	spørgsmål	question
350	langt	long
351	rundt	round, around
352	bror	brother
353	næsten	nearly
354	hvilken	what, which, the
355	byen	town, city
356	bliv	to become; the latter is preferred with nouns if a change…
357	sandt	true
358	gået	to go
359	livet	life
360	pas	passport
361	leder	to manage, run
362	bør	ought
363	indtil	until, till
364	fortalte	to tell, to report
365	side	side; a bounding straight edge or surface
366	inden	inner, interior
367	hellere	rather
368	ringer	To call, to telephone
369	bad	to ask, request
370	imod	against
371	videre	farther, further
372	tænker	to think
373	lort	crap, shit
374	ingenting	nothing
375	mens	while, when
376	beklager	sorry
377	pis	piss
378	sit	third-person sg pronoun, meaning his/her/its
379	problem	problem
380	ord	word
381	vejen	road
382	sød	sweeten
383	ondt	evil
384	dreng	boy, lad
385	sent	late
386	sjovt	funnily
387	sæt	to put, place, set
388	lang	long
389	job	job
390	inde	inside, indoors
391	datter	daughter
392	problemer	problem
393	timer	hour
394	prøve	trial, test, examination
395	svært	difficult, hard, stiff, tough
396	køre	to drive
397	nogensinde	ever, at some time
398	bag	behind
399	lader	barn
400	snakke	to talk, speak
401	færdig	finished, completed
402	vise	wise
403	stedet	place
404	ligner	resemble, look like
405	ti	ten
406	dræbte	to kill
407	egen	own
408	gammel	old
409	hjemme	at home, home
410	forbi	Finished
411	tænk	to think
412	fantastisk	incredible, amazing, fantastic
413	dog	however
414	bor	to live, reside, dwell
415	mad	food
416	fri	to propose
417	sidder	to sit
418	tænke	to think
419	stoppe	to stop, halt
420	gennem	through
421	føler	to feel, sense
422	omkring	about
423	ad	by
424	ske	be
425	igennem	through
426	mellem	between
427	velkommen	welcome
428	kæft	mouth
429	måtte	mat
430	ringe	ring
431	hader	to hate
432	løb	to run
433	stå	to stand
434	spise	food
435	vente	wait
436	chance	chance
437	ligger	to lie
438	slet	at all
439	nyt	new
440	slap	to let go, release, drop
441	døren	door
442	våben	a weapon
443	slår	to beat, hit, knock
444	kalder	to call, to refer to
445	husker	to remember
446	handler	commerce, trading
447	ring	To call, to telephone
448	passer	compass, pair of compasses
449	hvilket	what, which, the
450	fortæller	to tell, to report
451	beder	beet
452	mest	mostly; for the most part
453	lavet	to make, create, construct, produce
454	huset	house
455	al	all
456	tæt	closely
457	snakker	to talk, speak
458	uge	week
459	seks	six
460	hovedet	head
461	spørge	to ask, inquire
462	hånd	hand
463	søster	sister
464	leve	to live, be alive
465	plads	place
466	hjælper	to help
467	redde	to save, rescue
468	sgu	An intensifier
469	holdt	to hold
470	historie	history
471	sine	third-person sg pronoun, meaning his/her/its
472	ben	leg
473	bruger	to use
474	helst	with pleasure; gladly, willingly, readily
475	fast	firm
476	talte	to make a speech
477	dræbt	to kill
478	stort	large
479	glem	to forget
480	blod	blood
481	live	live
482	nummer	number
483	the	alternative spelling of te
484	kæreste	boyfriend or girlfriend; significant other
485	sandheden	truth
486	sagen	matter, affair
487	jorden	earth
488	begynder	to start, begin, commence, open
489	måneder	month
490	tur	turn
491	spille	to play
492	kvinder	A woman
493	slog	to beat, hit, knock
494	nat	night
495	seng	bed
496	lavede	to make, create, construct, produce
497	valg	choice
498	gift	marry
499	skide	bloody
500	piger	girl
501	ringede	To call, to telephone
502	prøv	to try
503	fuld	full
504	time	hour
505	alligevel	nonetheless, nevertheless
506	lære	to teach
507	idé	idea
508	værsgo	here you are
509	vand	water
510	spiller	music player
511	drenge	boy, lad
512	tænkt	to think
513	tidligere	early
514	kort	briefly
515	mindre	small, little, slight
516	besked	message
517	talt	to make a speech
518	rigtige	right
519	prøvede	to try
520	præcis	precisely, specifically
521	læg	to lay
522	masse	mass, pulp
523	øjne	eye
524	klokken	o'clock
525	forkert	wrongly, wrong, erroneously
526	hårdt	hard
527	fedt	fat, obese
528	agent	agent
529	dagen	day
530	smuk	beautiful, handsome, good-looking
531	kaptajn	captain
532	øje	eye
533	forstå	to understand
534	elskede	to love
535	slut	to end, to finish
536	forældre	parents
537	lov	to promise
538	sætte	to put, place, set
539	fortalt	to tell, to report
540	muligt	possible
541	kærlighed	love, affection
542	lever	to live, be alive
543	mening	an opinion
544	hjerte	heart
545	chef	A boss; person in charge, person who directly oversees the…
546	sætter	to put, place, set
547	foran	ahead, in front
548	vigtigt	important
549	ligeglad	indifferent
550	arbejdet	work
551	sjov	fun
552	perfekt	perfectly
553	små	small, little, slight
554	luk	to close
555	uger	week
556	forstået	to understand
557	aner	forefather
558	sag	matter, affair
559	vis	to show
560	lyst	light, bright
561	viser	song, ballad, ditty
562	fred	peace
563	dollars	a dollar
564	værre	worse, more bad, more badly
565	aftale	arrangement
566	sidst	last
567	find	to find
568	spørger	to ask, inquire
569	steder	place
570	tom	empty
571	plan	a plan
572	rejse	journey
573	udenfor	outside
574	hente	to fetch, retrieve
575	svar	to answer, reply, respond
576	dræber	to kill
577	unge	young
578	ansigt	face
579	ej	used to express surprise, irritation, reproach, annoyance…
580	held	luck, fortune
581	købe	buy
582	værd	worth
583	betale	to pay
584	kendte	known
585	dårligt	bad, badly, poorly
586	endelig	finally, eventually
587	beskytte	to defend, protect
588	findes	to find
589	spil	A game
590	roligt	calm, quiet, peaceful
591	let	lightly
592	sender	to send
593	værelse	room; separate part of a building
594	stod	to stand
595	fyre	guy
596	dårlig	bad, unwell, poor
597	bede	bed
598	land	to land
599	derude	out there
600	oppe	try one's best; try to improve
601	begyndte	to start, begin, commence, open
602	hoved	head
603	person	person
604	stykke	piece
605	træt	tired
606	by	town, city
607	manden	man
608	sex	Sexual intercourse, sex
609	sikke	what
610	natten	night
611	kære	to appeal
612	sikkerhed	safety, security
