rank	word	english	ipa
137	palauk	to wait a bit; to hang on	[pɐ¹ˈlɑˑʊk]
138	arba	or	[ɐrˈbɐ]
139	laiko	genitive singular of lai̇̃kas	[²ˈlɐɪˑkoː]
140	patinka	to appeal, like	[pɐ²ˈtʲɪŋˑkɐ]
141	vėl	again	[²ˈʋʲeːl]
142	manai	to deem	/mɐˈnɐɪ̌/
143	jeigu	if	[jæjɡʊ]
144	sveiki	hello	
145	visai	completely, entirely	/ˈvʲɪ.s̪ɐɪ/
146	kartu	together	/kɐrˈtʊ/
147	visada	always, constantly	[ʋʲɪsɐˈdɐ]
148	buvau	to be	[bʊ²ˈʋɒʊˑ]
149	du	two	[ˈdʊ]
150	kam	why, for what reason, what's the reason	/ˈkɑ̂ːm/
151	tuoj	soon	[²ˈtuɔɪ̯]
152	namo	home, homewards	/nɐˈmoː/
153	ta	that	[ˈtɐ]
154	žmogus	human	[ʒmoːˈɡʊs]
155	tačiau	but, yet	[tɐ²ˈt͡ʃʲɛʊˑ]
156	jiems	they	
157	darai	to make	[dɐ²ˈrɐɪˑ]
158	kažkas	something	/kɐʃˈkɐs/
159	juo	he, it	
160	sakė	to say	[²ˈsɑːkʲeː]
161	padaryti	to do, accomplish	[pɐdɐ¹ˈrʲiːtʲɪ]
162	visus	everyone, all of them	[ʋʲɪˈsʊs]
163	irgi	also	[²ˈɪrʲˑɡʲɪ]
164	geras	good	/ˈɡʲæɾɐs/
165	eiti	to go	[ˈɛɪ̯̌ːtʲɪ]
166	šūdas	shit	/ˈʃuːdɐs/
167	sveikas	healthy	
168	kokia	feminine nominative/instrumental singular of kóks	[koːˈkʲɛ]
169	daryti	to make	[dɐ¹ˈrʲiːtʲɪ]
170	galbūt	maybe	[ɡɐl¹ˈbuːt]
171	viena	one	/vʲiəˈn̪ɐ/
172	visa	everyone, all of them	/vʲɪˈs̪ɐ/
173	kurie	which	[kʊ²ˈrʲiɛ]
174	dieną	day, daytime	[²ˈdʲiɛnɑː]
175	tam	for that purpose	
176	padėti	to help, assist	/pɐˈd̪ʲêː.t̪ʲɪ/
177	žmogau	human	[ʒmoː²ˈɡɒʊˑ]
178	šis	this	[ˈʃʲɪs]
179	velnias	devil; demon	[¹ˈʋʲæˑlʲnʲɛs]
180	myliu	to love	[¹ˈmʲiːlʲʊ̟]
181	sakiau	to say	[sɐ²ˈkʲɛʊˑ]
182	pasakyk	to say, to tell	[pɐsɐ¹ˈkʲiːk]
183	maniau	to deem	[mɐ²ˈnʲɛʊˑ]
184	sako	to say	[²ˈsɑːkoː]
185	bent	at least	[²ˈbʲɛnˑt]
186	turbūt	very probably	[tʊr¹ˈbuːt]
187	tavimi	you	[tɐʋʲɪˈmʲɪ]
188	žmonių	human	[ʒmoː²ˈnʲu̟ː]
189	manimi	I	[mɐnʲɪˈmʲɪ]
190	supratau	to perceive, to get it; to understand	[sʊprɐ²ˈtɒʊˑ]
191	norėjau	to want	[noː¹ˈrʲeːjɛʊ]
192	tikras	correct, true	
193	laikas	time	/ˈɫɐɪ.kɐs/
194	buvai	to be	[bʊ²ˈʋɐɪˑ]
195	supranti	to perceive, to get it; to understand	[sʊprɐnʲˈtʲɪ]
196	norėčiau	to want	[noː¹ˈrʲeːt͡ʃʲɛʊ]
197	vyras	man	[¹ˈʋʲiːrɐs]
198	tėvas	father	[¹ˈtʲeːʋɐs]
199	paskui	following someone, behind	
200	matai	second-person singular present of matýti	
201	toliau	further; else	[toː²ˈlʲɛʊˑ]
202	suprantu	to perceive, to get it; to understand	[sʊprɐnˈtʊ]
203	diena	day, daytime	/dʲiəˈnɐ/
204	pirmyn	forward, ahead	[pʲɪrʲ²ˈmʲiːn]
205	vardas	name	[²ˈʋɐrˑdɐs]
206	tie	nominative masculine plural of tàs	[²ˈtʲiɛ]
207	darbo	genitive singular of dárbas	[¹ˈdɑˑrboː]
208	atgal	back, backwards	[ɐd²ˈɡɐlˑ]
209	žiūrėk	to look at; to look into, observe; to watch	[ʒʲu̟ː¹ˈrʲeːk]
210	puikiai	excellently	[²ˈpʊɪˑkʲɛɪ]
211	metu	instrumental singular of mẽtas	[mʲɛˈtʊ]
212	metus	accusative plural of mẽtas	
213	duok	to give	[¹ˈduɔk]
214	ja	she	
215	malonu	pleasant, pleasing; agreeable	[mɐloːˈnʊ]
216	lyg	like	/lʲiːk/
217	ateik	to come, to arrive	[ɐ²ˈtʲɛɪˑk]
218	greitai	quickly, swiftly	[²ˈɡrʲɛɪˑtɐɪ]
219	žino	to know	[ˈʒʲɪnoː]
220	pati	wife	[pɐˈtʲɪ]
221	kuri	which	[kʊˈrʲɪ]
222	gera	nominative/instrumental/vocative feminine singular of gẽras	[ɡʲɛˈrɐ]
223	galime	to be able to; can, may	[²ˈɡɑːlʲɪmʲɛ]
224	matau	to see	[mɐ²ˈtɒʊˑ]
225	mačiau	to see	[mɐ²ˈt͡ʃʲɛʊˑ]
226	visiškai	absolutely, totally, utterly	[ˈʋʲɪsʲɪʃkɐɪ]
227	galėčiau	to be able to; can, may	[ɡɐ¹ˈlʲeːt͡ʃʲɛʊ]
228	tuomet	then, at that time	[tuɔˈmʲɛt]
229	visas	all, whole, entire; all, every	/ˈvʲɪ.sɐs/
