rank	word	english
258	աղջիկ	girl, young woman
259	կին	woman
260	շուտ	early, soon
261	կարճ	short
262	ներս	in, inside
263	հաճելի	pleasant, agreeable
264	պատիվ	honour
265	բաց	open, not closed
266	պարոնայք	gentleman
267	վկա	eyewitness, witness
268	ամիս	month
269	սև	black
270	քնած	to sleep
271	արյուն	blood
272	ամբողջ	entire, whole, all
273	դրանք	those
274	հրաշալի	wonderful
275	միակ	only, sole
276	ահ	fear, fright; dread, terror; anxiety
277	քաջ	excellently; perfectly
278	հաջողություն	success
279	դեպքում	incident, event, occurrence
280	վտանգավոր	dangerous, perilous
281	ինչու	why
282	նույնիսկ	even
283	գործ	work
284	տեղ	place, location, locality, position
285	միջև	among, between
286	լինելու	to be, to exist
287	տալ	to give
288	չենք	negative form of ենք
289	տակ	under, beneath, below
290	ահեղ	formidably, terribly
291	մեկին	clearly, intelligibly
292	եղավ	to be, to exist
293	շնորհակալություն	thank you, thanks
294	ետ	back, backward
295	հարմար	comfortably, conveniently
296	հանուն	in the name of, in behalf of
297	երիտասարդ	young; youthful
298	նորություն	novelty, newness, the quality of being new
299	կարևոր	important; serious; significant
300	լիներ	third-person singular future perfect subjunctive/optative…
301	տարօրինակ	strange, weird, odd
302	ամոթ	shame
303	կողմից	side; direction
304	գնում	to buy, to purchase
305	թ	9 in the system of Armenian numerals
306	չափազանց	extremely, excessively, unduly
307	բանի	thing
308	այժմ	now, at present, at this moment in time
309	վերջ	after
310	պահել	to keep
311	լինեն	third-person plural future subjunctive/optative of լինել
312	մայր	mother
313	յան	side
314	բութ	thumb
315	կ	60 in the system of Armenian numerals
316	ոտքի	foot
317	հաճախ	often, frequently
318	որպեսզի	in order to
319	մահ	death
320	պատճառով	by reason of, because of
321	լուր	news; report; information; tidings
322	փաստաբան	lawyer, attorney, advocate, barrister, counsel
323	ևս	more, more than
324	վաղն	alternative form of վաղը
325	բավական	enough, quite
326	դավաճան	traitor, betrayer
327	փորձել	to try, to attempt
328	փութով	in haste, hastily, diligently, promptly, rapidly, quickly,…
329	երջանիկ	happy, fortunate, lucky
330	գունատ	pale, colorless
331	էինք	I am
332	պատճառ	reason, cause
333	ծանր	heavy
334	կլինես	to be, to exist
335	որի	who, which, that
336	բժիշկ	doctor, physician
337	վաղ	early
338	հաճո	pleasant, pleasing, agreeable
339	բացի	besides, except, apart from
340	ձեռք	hand; arm
341	անմիջապես	immediately, instantly, promptly, right away
342	հիանալի	awesome, wonderful, splendid
343	հարգելի	respectable, respected
344	հաղթել	to win
345	բարև	greeting, salute; salutation
346	իսկապես	indeed, actually
347	հուսով	hope
348	պարզ	not clouded, clear, serene
349	հանում	subtraction, withdrawal, drawing out
350	անուն	name
351	հազար	thousand
352	ուղղակի	directly
353	մյուս	other
354	ընթացքում	during
355	օգնել	to help, to assist, to aid
356	էիք	I am
357	կաց	to stand, be standing
358	արյան	blood
359	առ	by X, indicates a steady progression, one X after another
360	չունեն	negative form of ունեն
361	մեծություն	bigness, largeness
362	դիմաց	opposite, facing, against
363	մարդու	human being, person
364	հարյուր	hundred
365	որոնք	which, what
366	ծեր	old, aged
367	վարկ	prestige, reputation
368	վայր	down
369	պահ	moment, instant
370	շնորհավորում	congratulation, the act of congratulating
371	ստոր	base, low, despicable
372	հայտնի	famous, well-known
373	ուղարկել	to send, to dispatch, to transmit
374	խեղճ	pitiful, wretched, deserving pity
375	տան	house, building
376	խիստ	strictly, severely, stringently, austerely, sternly
377	հաջորդ	next, following, subsequent
378	հին	old; ancient
379	լի	full, packed
380	անկեղծ	sincerely, genuinely, honestly, earnestly
381	ժողովրդական	national, popular, folk
382	միմյանց	each other, one another
383	արժանի	worthy, worth, deserving
384	հանդեպ	facing, opposite, across from
385	դերասան	actor
386	բոլորը	all
387	կենդանի	alive, living, not dead
388	գնալ	to go
389	քսան	twenty
390	գեղեցիկ	beautifully
391	խաղ	game, play
392	պատասխան	answer, reply, response
393	սիրով	with pleasure
394	շարժվել	to move
395	գումար	sum
396	դիմել	to go to, head in the direction of
397	բառ	word
398	զվարթ	happy, cheerful, joyous
399	ինչպիսի	what, what kind of
400	իրական	real, actual
401	տղա	boy
402	գալ	to come
403	երկրորդ	second
404	կարիք	necessity, need, want
405	փաստորեն	so, actually, in actual fact
406	երևում	appearance, emergence
407	թաքուն	secretly, stealthily, furtively
408	զարմիկ	cousin
409	խանութ	shop, store
410	հավանաբար	probably, likely
