rank	word	english	ipa
139	باز	again, re-	[bɒːz]
140	بزرگ	large, big	[bo.zóɹɡʲ̥]
141	چقدر	how much	[t͡ʃʰe.ʁǽd̪ɹ]
142	ندارم	to have; to possess, to own	[næ.d̪ɒː.ɹæm]
143	بودن	to exist	[buː.d̪ǽn]
144	خواهش	request	[xɒː.ɦeʃ]
145	خوش	happy	[xoʃ]
146	دنبال	rear; behind	[d̪om.bɒ́ːl̥]
147	اسم	name	[ʔesm]
148	کم	few, little	[kʰʲæm]
149	شو	to become; a light verb used in a large number of…	[ʃow]
150	نبود	Used other than figuratively or idiomatically: see ن, بود:…	[nǽ.buːd̪̥]
151	پدر	father	[pʰe.d̪ǽɹ]
152	بالا	up, upwards	[bɒː.lɒ́ː]
153	آماده	ready	[ʔɒː.mɒː.d̪é]
154	یا	or	[jɒː]
155	زنگ	rust	[zæɲɡʲ̥]
156	زنده	alive	[zen̪.d̪é]
157	بابا	dad, daddy, father	[bɒː.bɒ́ː]
158	بخاطر	for the sake of, because of, by virtue of	[be.xɒː.t̪ʰé.ɹe]
159	اول	first, firstly	[ʔæv.vǽl̥]
160	داد	to give	[d̪ɒːd̪̥]
161	جا	place	[d͡ʒɒː(j)]
162	مامان	mama	[mɒː.mɒ́ːn]
163	زن	woman	[zæn]
164	او	she, he, they	[ʔuː]
165	کنار	next to, besides	[kʰʲe.nɒ́ːɹ]
166	دور	away	[d̪uːɹ]
167	داده	piece of data, datum	[d̪ɒː.d̪é]
168	زود	early	[zuːd̪̥]
169	تر	moist, wet	[t̪ʰæɹ]
170	خبر	news	[xæ.bǽɹ]
171	بهتر	good	[beɦ.t̪ʰæɹ]
172	زمان	time, epoch, period, age, season	[zæ.mɒ́ːn]
173	شهر	city, town	[ʃæɦɹ]
174	اتفاق	occurrence, happening, event, accident, incident	[ʔet̪ʰ.t̪ʰe.fɒːɢ̥]
175	باعث	cause, motive	[bɒː.ʔés]
176	اجازه	permission	[ʔe.d͡ʒɒː.zé]
177	بزن	to beat, hit, strike	[bé.zæn]
178	طرف	side	[t̪ʰæ.ɹǽf]
179	لطفا	kindly	[lót̪ʰ.fæn]
180	دکتر	doctor, physician	[d̪okʰʲ.t̪ʰóɹ]
181	هی	repeatedly, continuously, always; keep	[hej]
182	همین	this/these very	[hǽ.miːn]
183	پیدا	evident, visible, apparent	[pʰej.d̪ɒ́ː]
184	آروم	colloquial-un form of آرام	
185	مهم	important task, important affair	[mo.ɦem(ː)]
186	یکی	one	[je.kʰʲiː]
187	اصلا	not at all	[ʔǽs.læn]
188	لحظه	moment	[læɦ.zé]
189	کردی	to do	[kʰoɹ.d̪íː]
190	حالت	state, condition	[hɒː.lǽt̪ʰ]
191	جواب	answer, reply	[d͡ʒæ.vɒ́ːb̥]
192	پشت	behind	[pʰoʃt̪ʰ]
193	فرار	escape	[fæ.ɹɒ́ːɹ]
194	آب	water	[ʔɒːb̥]
195	خون	blood	[xuːn]
196	نجات	salvation, saving	[næ.d͡ʒɒːt̪ʰ]
197	هیچ	never	[hiːt͡ʃʰ]
198	صبح	morning	[sobʰ]
199	هفته	week	[hæf.t̪ʰé]
200	مال	property, wealth, money, assets	[mɒːl̥]
201	لازم	necessary	[lɒː.zém]
202	باور	belief	[bɒː.vǽɹ]
203	بزنم	to beat, hit, strike	[bé.zæ.næm]
204	احساس	feeling, emotion	[ʔeɦ.sɒ́ːs]
205	ادامه	continuation	[ʔe.d̪ɒː.me]
206	بد	poorly, badly	[bæd̪̥]
207	بره	lamb	[bæɹ.ɹé]
208	کسی	someone, somebody	[kʰʲæ.siː]
209	اتاق	room	[ʔo.t̪ʰɒ́ːɢ̥]
210	داخل	inside	[d̪ɒː.xél̥]
211	اشتباه	mistake, fault, error	[ʔeʃ.t̪ʰe.bɒ́ːʰ]
212	نگران	worried; anxious	[ne.ɡʲæ.ɹɒːn]
213	خانواده	family	[xɒː.ne.vɒː.d̪é]
214	مشکل	difficult	[moʃ.kʰʲél̥]
215	سمت	side; way; hand; direction	[sæmt̪ʰ]
216	امشب	tonight	[ʔem.ʃǽb̥]
217	بیرون	outside, out	[biː.ɹúːn]
218	وارد	entered, arrived	[vɒː.ɹed̪̥]
219	کی	when?	[kʰʲej]
220	بیا	let's; added to a verb in the first-person plural…	[bíː.jɒː]
221	انتخاب	election	[ʔen̪.t̪ʰe.xɒ́ːb̥]
222	شاید	maybe; perhaps; probably	[ʃɒ́ː.jæd̪̥]
223	ازدواج	marriage	[ʔez.d̪e.vɒ́ːd͡ʒ̥]
224	آه	sigh	[ʔɒːʱ]
225	داریم	to have; to possess, to own	
226	برنامه	agenda	[bæɹ.nɒː.mé]
227	گفته	to say	[ɡ̥of.t̪ʰé]
228	دادن	to give	[d̪ɒː.d̪ǽn]
229	بکنم	to do	
230	پیش	before, previously	[pʰiːʃ]
231	اره	saw	[ʔæɹ.ɹé]
232	ماه	moon	[mɒːʱ]
233	حق	right	[hæɢɢ̥]
234	فردا	tomorrow	[fæɹ.d̪ɒ́ː]
235	اندازه	size, dimension	[ʔæn̪.d̪ɒː.zé]
236	دار	to have; to possess, to own	[d̪ɒːɹ]
237	حمله	attack	[hæm.lé]
238	کدوم	which	
239	شه	fie	[ʃæʱ]
240	متوجه	careful; mindful; attentive	[mo.t̪ʰe.væd.d͡ʒeʱ]
241	مطمئن	sure; confident; certain; assured	[mot̪ʰ.mæ.ʔén]
242	رفت	to go	[ɹǽft̪ʰ]
243	مرگ	death	[mǽɹɡʲ̥]
244	نقشه	map	[næʁ.ʃé]
245	عوض	substitute	[ʔæ.vǽz]
246	اعتماد	trust, confidence	[ʔeʔ.t̪ʰe.mɒːd̪̥]
247	قول	promise, vow, one's word	[qowl̥]
248	تازه	just, now	[t̪ʰɒː.zé]
249	جنگ	war	[d͡ʒæɲɡʲ̥]
250	هستند	to exist	
251	تماس	contact	[t̪ʰæ.mɒ́ːs]
252	افتاده	humbled person, oppressed person	[ʔof.t̪ʰɒː.d̪é]
253	ممنونم	thank you	[mæm.nuː.nǽm]
254	انگار	as if	[ʔeŋ.ɡɒːɹ]
255	حرکت	motion	[hæ.ɹæ.kʰʲǽt̪ʰ]
256	حس	sense	[hes(ː)]
257	موقع	time, moment	[mow.ɢéʔ]
258	مادر	mother, mama	[mɒː.d̪ǽɹ]
259	آن	that; the	[ʔɒːn]
260	کارت	card	[kʰɒːɹt̪ʰ]
261	دروغ	lie	[d̪o.ɹúːɢ̥]
262	روی	on, upon	[ɹuːj]
263	گم	lost, missing, invisible	[ɡ̥om]
264	لباس	clothing	[le.bɒːs]
265	جور	state, condition	[d͡ʒuːɹ]
266	گرفتم	to grab	
267	عشق	love; passion	[ʔeʃɢ̥]
268	هرگز	ever	[hæɹ.ɡʲéz]
269	جان	soul; life; life-force	[d͡ʒɒːn]
270	قبول	acceptance	[qæ.búːl̥]
271	مرده	to die	[moɹ.d̪é]
272	موضوع	subject, topic; theme; issue, matter	[mow.zuːʔ]
273	اینه	mirror	[ʔéː.nä]
274	عنوان	title	[ʔoɱ.vɒ́ːn]
275	خود	self, -self	[xod̪̥]
276	حتما	certainly, necessarily, surely	[hæt̪ʰ.mǽn]
277	چیز	thing	[t͡ʃʰiːz]
278	مجبور	compelled, obliged, forced	[mæd͡ʒ.buːɹ]
279	زندگی	life, existence	[zen̪.d̪e.ɡʲiː]
280	شماره	number	[ʃo.mɒː.ɹe]
281	منتظر	waiting, expecting	[mon̪.t̪ʰæ.zéɹ]
282	کننده	to do	[kʰo.næn̪.d̪é]
283	زده	to beat, hit, strike	[zæ.d̪é]
284	گروه	group	[ɡ̥o.ɹuːʱ]
285	جمع	crowd	[d͡ʒǽmʔ]
286	عاشق	loving	[ʔɒː.ʃéɢ̥]
287	احمق	idiot, fool, dolt	[ʔæɦ.mǽɢ̥]
288	کنید	to do	[kʰó.niːd̪̥]
289	گذشته	past, last	[ɡ̥o.zæʃ.t̪ʰé]
290	روش	method; manner; way; procedure	[ɹæ.veʃ]
291	کاملا	perfectly	[kʰɒː.me.lǽn]
292	پرونده	case	[pʰæɹ.væn̪.d̪é]
293	کل	everything	[kʰʲæl̥]
294	مدرسه	school	[mæd̪.ɹe.sé]
295	هستی	to exist	[hæs.t̪ʰíː]
296	همیشه	always	[hæ.miː.ʃé]
297	بلند	tall	[bo.lǽn̪d̪̥]
298	پر	full	[pʰoɹ]
299	ده	ten	[d̪æʱ]
300	رد	an important person in Zoroastrianism	[ɹæd̪̥]
301	اسلحه	weapon, arms	[ʔæs.læ.ɦé]
302	بیشتر	more	[biːʃ.t̪ʰæɹ]
303	آقا	Mr., Sir, Lord	[ʔɒː.ʁɒ́ː]
304	سخت	exceedingly, extremely, very	[sæxt̪ʰ]
305	بی	without	[biː]
306	عقب	behind	[ʔæ.ʁǽb̥]
307	داستان	tale, story	[d̪ɒːs.t̪ʰɒ́ːn]
308	باشی	to exist	[bɒ́ː.ʃiː]
309	مدت	time, period, duration	[mod̪.d̪ǽt̪ʰ]
310	درد	pain	[d̪æɹd̪̥]
311	چشم	eye	[t͡ʃʰæʃm]
312	کنند	to do	[kʰó.næn̪d̪̥]
313	فراموش	forgotten	[fæ.ɹɒː.múːʃ]
314	دلار	dollar	[d̪o.lɒːɹ]
315	رفتن	to go	[ɹæf.t̪ʰǽn]
316	راست	straight	[ɹɒːst̪ʰ]
317	خارج	outside	[xɒː.ɹéd͡ʒ̥]
318	سوال	unhamzated form of سؤال	[sä.vɔ́l]
319	همش	always; all the time	[hæ.mǽʃ]
320	قبلا	previously, beforehand	[qǽb.læn]
321	کس	one, person, somebody	[kʰʲæs]
322	راجع	regarding, about, concerning	[ɹɒː.d͡ʒeʔ]
323	خوشحال	happy, merry	[xoʃ.hɒ́ːl̥]
324	بدن	body	[bæ.d̪ǽn]
325	غذا	food	[qe.zɒ́ː]
326	بخش	lot; part; portion; section	[bæxʃ]
327	دفعه	time	[d̪æf.ʔé]
328	خفه	strangled, choked, suffocated	[xæ.fé]
329	جون	colloquial-un form of جان	
330	طول	length	[t̪ʰuːl̥]
331	صورت	face	[suː.ɹǽt̪ʰ]
332	زدن	to beat, hit, strike	[zæ.d̪ǽn]
333	خوبی	goodness, kindness	[xuː.bíː]
334	ترک	exit, leaving	[t̪ʰæɹkʰʲ]
335	قدرت	power, authority	[qod̪.ɹǽt̪ʰ]
336	افراد	individual	[ʔæf.ɹɒ́ːd̪̥]
337	شرکت	company, firm	[ʃeɹ.kʰʲǽt̪ʰ]
338	پنج	five	[pʰænd͡ʒ̥]
339	توسط	by, through	[t̪ʰæ.væs.sot̪ʰ]
340	دلم	pimple	[d̪o.lóm]
341	حتی	even	[hǽt̪ʰ.t̪ʰɒː]
342	کنترل	control	[kʰon̪.t̪ʰo.ɹól̥]
343	بدی	badness	[bæ.d̪íː]
344	تحت	under	[t̪ʰæɦ.t̪ʰe]
345	بس	enough, sufficiently	[bæs]
346	خواب	sleep	[xɒːb̥]
347	راستش	actually, in fact	[ɹɒ́ːs.t̪ʰeʃ]
348	شانس	chance	[ʃɒːns]
349	عکس	photograph, picture	[ʔækʰʲs]
350	برادر	brother	[bæ.ɹɒː.d̪ǽɹ]
351	مراقب	watchful, vigilant, observant, careful	[mo.ɹɒː.ʁeb̥]
352	آخر	at last	[ʔɒː.xéɹ]
353	زد	to beat, hit, strike	[zæd̪̥]
354	حساب	account	[he.sɒ́ːb̥]
355	طور	manner, way	[t̪ʰowɹ]
356	درک	perception	[d̪æɹkʰʲ]
357	موفق	successful, prosperous	[mo.væf.fǽɢ̥]
358	زدم	to beat, hit, strike	[zǽ.d̪æm]
359	گفتن	to say	[ɡ̥of.t̪ʰǽn]
360	راحت	comfort	[ɹɒː.ɦǽt̪ʰ]
361	داشتن	to have; to possess, to own	[d̪ɒːʃ.t̪ʰǽn]
362	مبارزه	contest	[mo.bɒː.ɹe.zé]
363	قتل	murder; killing	[qæt̪ʰl̥]
364	انسان	human	[ʔen.sɒ́ːn]
365	گرفتن	to grab	[ɡʲe.ɹef.t̪ʰǽn]
366	جدا	separately, individually, independently, solitarily	[d͡ʒo.d̪ɒ́ː]
367	کتاب	book	[kʰʲe.t̪ʰɒ́ːb̥]
368	توجه	attention; regard	[t̪ʰæ.væd.d͡ʒoʱ]
369	صدا	sound, call, voice	[se.d̪ɒ́ː]
370	لعنت	curse, execration	[læʔ.nǽt̪ʰ]
371	چهار	four	[t͡ʃʰæ.ɦɒ́ːɹ]
372	محافظت	protection, conservation	[mo.ɦɒː.fe.zæt̪ʰ]
373	نامه	letter	[nɒː.mé]
374	بازی	game	[bɒː.zíː]
375	فوق	above part	[fowɢ̥]
376	اطلاعات	information, data	[ʔet̪ʰ.t̪ʰe.lɒː.ʔɒ́ːt̪ʰ]
377	ملاقات	meeting, appointment, encounter	[mo.lɒː.ʁɒ́ːt̪ʰ]
378	بسته	parcel, package	[bæs.t̪ʰé]
379	شماها	you guys; you	
380	رابطه	relationship; bond; relation; connection	[ɹɒː.be.t̪ʰé]
381	کوچولو	tiny; wee; dinky; little	
382	آنها	alternative form of آنها	
383	گرفت	to grab	[ɡʲe.ɹéft̪ʰ]
384	تلفن	telephone	[t̪ʰe.le.fón]
385	زندان	jail, prison	[zen̪.d̪ɒ́ːn]
386	رفتار	behaviour, conduct	[ɹæf.t̪ʰɒ́ːɹ]
387	معذرت	excuse; apology	[mæʔ.ze.ɹǽt̪ʰ]
388	لعنتی	cursed, accursed	[læʔ.næ.t̪ʰiː]
389	نیاز	need, necessity, want, requirement, neediness	[ni.jɒ́ːz]
390	بالاخره	finally, in the end	[be.læ.xæ.ɹe]
391	علاقه	interest	[ʔæ.lɒː.ʁé]
392	شکست	fracture	[ʃe.kʰʲǽst̪ʰ]
393	نابود	nonexistent	[nɒː.búːd̪̥]
394	هدف	target	[hæ.d̪ǽf]
395	سگ	dog	[sæɡʲ̥]
396	توش	strength, force	
397	خسته	tired	[xæs.t̪ʰé]
398	جلو	forward, ahead	[d͡ʒe.lów]
