rank	word	english	ipa
163	ovdje	here, over here	/ǒːʋdje/
164	radiš	to work	/ˈradɪʃ/
165	meni	to me	/měniː/
166	idem	to go, walk	/ˈidɛm/
167	mama	mom	/mâma/
168	dobar	good	/dôbar/
169	tata	dad, daddy	/tâta/
170	vidi	third-person singular present	/ˈvidɪ/
171	volim	to love	/ˈvolɪm/
172	im	to them	/im/
173	život	life	/ʒǐʋot/
174	kući	home, at home	/kût͡ɕi/
175	reci	river	/ˈrɛtsɪ/
176	svoje	one's own	/ˈsvoje/
177	dva	two	/dʋâː/
178	njega	of him	/ɲêɡa/
179	stvar	thing	/stʋâːr/
180	nisu	to be, to exist	/nǐːsu/
181	vremena	time	/ˈvrɛmɛnɐ/
182	imao	to have, possess, own	/ˈimɐo/
183	evo	look, see, behold	/ˈɛvo/
184	danas	today	/dǎnas/
185	nikada	never	/nîkada/
186	zna	to know	/ˈzna/
187	odmah	right now, immediately	/ôdmaːx/
188	možete	can, to be able to	/ˈmoʒɛtɛ/
189	toliko	that much/many, so much/many, as much/many	/tolǐkoː/
190	neka	let, may	/ˈnɛkɐ/
191	kaže	to say, to state	/ˈkaʒɛ/
192	neki	some	/nêkiː/
193	video	to see	/ˈvidɛo/
194	tri	three	/trîː/
195	tim	team	/ˈtim/
196	tobom	with you	/tôboːm/
197	čak	even	/t͡ʃâk/
198	ime	name	/îme/
199	veoma	very, very much, extremely	/ʋěoma/
200	koju	which, what	/ˈkojʊ/
201	čemu	whereto, whither; to what	/t͡ʃěmu/
202	niko	no one, nobody	/nîko/
203	oko	around, about, roughly, approximately	/ôko/
204	svoju	feminine accusative singular of svȏj	/ˈsvojʊ/
205	žena	woman	/ʒěna/
206	opet	again	/ôpeːt/
207	upravo	exactly, precisely	/upraʋo/
208	svoj	one's own	/ˈsvoj/
209	mnom	me	/mnôːm/
210	jesam	first-person singular present of bȉti	/ˈjesɐm/
211	ide	to go, walk	/ˈidɛ/
212	nismo	to be, to exist	/nǐːsmo/
213	sigurno	certainly	/sîɡuːrno/
214	vidimo	first-person plural present	/ˈvidɪmo/
215	jednom	once, one time	/jědnoːm/
216	radim	to work	/ˈradɪm/
217	god	generalization particle	/ɡôːd/
218	vidiš	second-person singular present of videti and vidjeti	/ˈvidɪʃ/
219	postoji	to be, exist	/ˈpostojɪ/
220	nemam	not to have	/ˈnɛmɐm/
221	gdje	where	/ɡdjê/
222	otac	father	/ǒtat͡s/
223	ta	that, the aforementioned	/tâː/
224	čovek	man, person	/t͡ʃôʋek/
225	tebi	to you	/têbi/
226	puno	much, a lot, lots	/pûno/
227	znao	to know	/ˈznao/
228	lepo	beautifully, nicely	/lêːpo/
229	želi	to wish, desire	/ˈʒɛlɪ/
230	puta	times	/pǔːtaː/
231	godine	year	/ˈɡodɪnɛ/
232	pravu	pure, true, genuine	/ˈpravʊ/
233	jako	very, very much, really	/jâːko/
234	prvi	first	/př̩ʋiː/
235	novac	money	/nǒʋat͡s/
236	dovoljno	enough, sufficiently	/dôʋoːʎno/
237	sutra	tomorrow	/sûtra/
238	dalje	far	/dâʎeː/
239	zajedno	together	/zâjedno/
240	dušo	soul	/ˈduʃo/
241	sebe	myself	/sêbe/
242	drugi	second	/drûɡiː/
243	njih	of them	/ɲîːx/
244	došao	to come, arrive	/ˈdoʃɐo/
245	dosta	enough, sufficiently	/dôsta/
246	problem	problem	/prǒbleːm/
247	imate	to have, possess, own	/ˈimɐtɛ/
248	prema	towards, at	/prêma/
249	ova	feminine nominative singular	/ǒʋaː/
250	odavde	from here	/ôdaːʋde/
251	mesto	instead of	/mêsto/
252	koga	of whom	/kǒɡa/
253	ovamo	hither, this way	/ǒʋaːmo/
254	jedna	one	/ˈjednɐ/
255	vrlo	very, extremely	/ʋr̂lo/
256	drago	to be glad, pleased, delighted	/drâːɡo/
257	način	way, method, approach, manner	/nǎːt͡ʃin/
258	desilo	to happen, occur	/ˈdɛsɪlo/
259	sranje	A very difficult situation, big trouble	/srǎːɲe/
260	budem	to be, to exist	/ˈbudɛm/
261	pomoći	help	/pomǒt͡ɕi/
262	ponovo	repeatedly, once again	/pônoʋo/
263	ma	bah, whatever	/mâ/
264	mogla	can, to be able to	/ˈmoɡlɐ/
265	kroz	through	/krôz/
266	posle	later	/ˈposlɛ/
267	nećeš	to wish, want, desire	/nêːt͡ɕeːʃ/
268	zaista	indeed	/zâista/
269	vrata	neck	/ʋrǎːta/
270	brzo	quickly, rapidly	/br̂ːzo/
271	tko	who	/tkô/
272	njim	him	/ɲîːm/
273	siguran	sure, certain	/sîɡuːran/
274	dođi	to come, arrive	/ˈdodʑɪ/
275	nekoliko	some, several, a few	/nêkoliko/
276	par	pair, couple	/pâːr/
277	noć	night, nighttime	/nôːt͡ɕ/
278	dugo	for a long time	/dûɡo/
279	pod	under, beneath	/pôd/
280	loše	bad, malicious	/ˈloʃɛ/
281	previše	too much / too many	/prêʋiʃeː/
282	naš	our, ours	/nâʃ/
283	večeras	this evening	/ʋet͡ʃěras/
284	trebao	to be needed, to be required	/ˈtrɛbɐo/
285	mog	genitive masculine/neuter	/ˈmoɡ/
286	ovako	in this way, thus, like so	/oʋǎkoː/
287	izvinite	sorry!	/ˈizvɪˌnɪtɛ/
288	vaš	your, yours	/ʋâʃ/
289	ćete	second-person plural present of htȅti/htjȅti	/ˈtɕɛtɛ/
290	gore	up, above	/ɡôre/
291	ovu	this, this one	/ˈovʊ/
292	isto	as well, also, too, likewise	/ˈisto/
293	pravo	straight	/prâʋo/
