rank	word	english
257	여전히	still, just as before
258	딱	while colliding together
259	이야기	talk
260	부인	wife
261	문	door
262	훨씬	much more or less; a lot; long; far more
263	뭔지	what it is
264	손	hand
265	수술	surgery
266	어쩌면	perhaps
267	어느	which
268	아마도	maybe
269	준비	readiness, preparation
270	전화	telephone, phone
271	도대체	on earth; the hell
272	세	three
273	갑자기	suddenly, all of a sudden
274	이봐요	hi, hey, hello
275	어쨌든	anyway
276	이번	this time; this occasion
277	지	only used in -은 지
278	신경	nerves
279	늘	always
280	누군가	somebody; someone
281	분명히	In an obvious manner
282	존	zone
283	일단	first and foremost
284	걱정	anxiety; worry
285	매일	every day
286	아침	morning
287	대신	instead
288	마치	exactly the same, as if, just like
289	금방	soon, shortly
290	사는	topic-marked form of 사: see -은
291	결국	in the end, ultimately
292	그때	that time, the given time
293	기분	feeling, mood
294	가면	mask
295	저희	the first person plural polite pronoun; we
296	어제	yesterday
297	앞으로	Used other than figuratively or idiomatically: see 앞, -으로
298	애가	mournful song, elegy
299	이상한	strange, abnormal
300	막	contraction of 마구
301	아이	child, kid
302	언제나	always
303	아들	son
304	하세요	informal polite present exclamatory form of 하시다 ”
305	총	gun; rifle; machine gun
306	스스로	by oneself, on one's own, without assistance
307	아님	to not be
308	조용히	silently, quietly
309	미친	oh my god, that's insane
310	머리	head
311	잘못	erroneously
312	고맙습니다	thank you; formal polite indicative non-past of 고맙다
313	왜냐하면	because; for the following reason
314	환자	a medical patient
315	양	two; both
316	게다가	moreover
317	데	place
318	이것	this
319	보지	pussy, vulva, vagina
320	원래	originally; naturally, inherently, innately
321	솔직히	honestly
322	빌어먹을	damn, goddamn, bloody, fucking
323	얼른	quickly, at once, without delay
324	대로	the same way as, the manner of
325	놈	bastard
326	술	alcoholic beverage; liquor
327	정확히	exactly, accurately, correctly, precisely
328	충분히	sufficiently
329	아저씨	middle-aged elder male
330	평생	one's entire life, lifetime
331	아까	just now; a little while ago, earlier today
332	눈	eye
333	애	child, kid
334	분명	clearly, certainly
335	역시	too, also
336	천천히	slowly
337	문제	problem, issue, question
338	저녁	evening
339	적어도	at least
340	개	dog
341	그러나	but, however
342	주	main; principal
343	가끔	occasionally, from time to time, not frequently or regularly
344	간	10³⁶
345	잠시	for a moment, while, some time
346	그렇지만	nonetheless; however, but
347	분	one tenth, ¹⁄₁₀
348	아이가	Plain informal interrogative of 아이다; isn't it?
349	저게	that thing
350	하자	flaw; defect
351	정도	degree, extent
352	싫어요	dislike
353	영원히	forever, eternally
354	정신	mind; consciousness; pneuma; psyche
355	는	See the entry at -는
356	그대로	just, exactly
357	앞에서	Used other than figuratively or idiomatically: see 앞, 에서
358	물	water
359	하지마	informal present negative exclamatory form of 하다
360	서	west
361	요즘	recent times; recently
362	에	e
363	옷	clothing; clothes
364	입	mouth
365	어머니	mother
366	준	given: Past determiner form of 주다
367	언니	older sister of a female
368	제게	that, that thing
369	하루	a day, 24 hours
370	단	but, however
371	필	to bloom
372	걸로	alternative form of 것
373	사랑	love; affection
374	년	bitch, bastard
375	형	older brother of a male
376	저런	such, that kind of; like that
377	별	special, extraordinary, different, unusual
378	아니다	to not be
379	씨발	fuck! shit!
380	의	righteousness; righteous conduct
381	가게	store, shop
382	밥	cooked rice
383	만큼	the degree or extent to which
384	이름	name; full name
