rank	word	english	ipa
142	tentu	surely, certainly, of course	/tənˈtu/
143	selamat	congratulations!	/səˈlamat/
144	cukup	sufficiently, adequately	/ˈt͡ʃukup/
145	selalu	always; forever; evermore	/səlalu/
146	tuhan	god	/ˈtuhan/
147	suka	pleasure	/ˈsuka/
148	seseorang	someone	/səsəˈoraŋ/
149	pria	man, boy	/ˈpria/
150	setelah	after	/sətəˈlah/
151	mengerti	active of erti	/məŋərˈti/
152	tolong	please	/ˈtɔlɔŋ/
153	dimana	misspelling of di mana	/diˈmana/
154	bahkan	even	/ˈbahkan/
155	apa-apa	anything	/ˌapa ˈapa/
156	berada	to be, to be located	/bəˈrada/
157	menemukan	to find, to locate, to detect	/mənəˈmukan/
158	sedikit	a little	/səˈdi.kɪt̪̚/
159	bertemu	to meet	/bərˈtɛmu/
160	mendapatkan	active of dapatkan	/məndaˈpatkan/
161	percaya	to believe, to have trust	/pərˈt͡ʃaja/
162	oleh	due to	/ˈoleh/
163	makan	to eat	/ˈmakan/
164	lama	long: having great duration; seemingly lasting a lot of…	/ˈlama/
165	atas	upstairs	/ˈatas/
166	ku	apheretic form of aku	/ˈku/
167	tinggal	to remain	/ˈtiŋɡal/
168	bekerja	to work, to labor/labour	[bə.kərˈd͡ʒa]
169	terlalu	too	/tərˈla.lu/
170	wanita	woman; lady	/waˈnita/
171	sebagai	as, like	/səˈbaɡai̯/
172	sayang	love	/ˈsajaŋ/
173	kali	times; multiplied by	/ˈkali/
174	tetap	continuously	/təˈtap/
175	yakin	convinced, positive	/ˈjakin/
176	cara	way	/ˈt͡ʃa.ra/
177	berhenti	to cease moving	/bərhənˈti/
178	jalan	road; way; street	/ˈd͡ʒalan/
179	setiap	each	/səˈtiap/
180	berpikir	active of pikir	/bərˈpikir/
181	mulai	starting	/ˈmulai̯/
182	dunia	world	/duˈnia/
183	mari	to come here	/ˈmari/
184	membunuh	to extinguish another's life; to make someone die	/məmˈbunuh/
185	selama	during	/səˈlama/
186	luar	outside	/ˈluar/
187	kecil	small in size	/kəˈt͡ʃil/
188	pertama	first	/pərˈtama/
189	sebelum	before	/səbəˈlum/
190	diri	ego, self	/ˈdiri/
191	bersama	with, together with	/bərˈsama/
192	mengambil	active of ambil	/məˈŋambil/
193	boleh	may	/ˈbolɛh/
194	merasa	to feel	/məˈra.sa/
195	mencari	active of cari	/məntˈʃari/
196	uang	money	/ˈuaŋ/
197	apapun	alternative form of apa pun	/aˈpapun/
198	senang	happy	/səˈnaŋ/
199	butuh	to need	/ˈbutuh/
200	ayolah	come on!	/ajoˈlah/
201	teman	friend	/təˈman/
202	sebenarnya	actually, in fact	/səbəˈnarɲa/
203	mencoba	to attempt; to endeavour	/məntˈʃoba/
204	gadis	girl	/ˈɡadis/
205	dulu	before, formerly, previously	/ˈdulu/
206	tanpa	without	/ˈtanpa/
207	jam	hour	/ˈd͡ʒam/
208	buruk	bad	/ˈburuʔ/
209	para	A definitive particle, as a proxy for plural marker. Used…	/ˈpara/
210	polisi	police	/poˈlisi/
211	membawa	active of bawa	/məmˈbawa/
212	berapa	how many, how much	/bəˈrapa/
213	orang-orang	human, person	/ˈɔraˈŋɔraŋ/
214	itulah	that's	/ˌituˈlah/
