rank	word	english
304	najboljše	superlative degree of dóbro
305	koncu	end
306	žensko	female, woman
307	pomagaj	to help
308	deset	ten
309	živ	alive
310	nekje	somewhere
311	ostati	to stay, remain
312	delati	to do
313	konca	end
314	pravo	law
315	krvi	blood
316	posel	mission
317	star	old, aged
318	zgodba	story
319	pozneje	comparative degree of pôzno
320	boljše	comparative degree of dóbro
321	slišati	to hear
322	hočete	to want
323	ostala	to stay, remain
324	možnost	possibility
325	napad	attack
326	nočeš	to want
327	hiša	house
328	umor	murder
329	živeti	to live
330	kralj	king
331	cel	whole
332	noče	to want
333	dobiti	to receive, get, obtain, acquire
334	nor	crazy, insane, mad
335	preprosto	simply, straightforwardly
336	vedo	to know
337	dom	home
338	oseba	person
339	nista	negative second/third-person dual present of bíti
340	nov	new
341	pogovoriti	to calm by talking
342	moči	can, to be able
343	tod	thus
344	prostor	space, room
345	truplo	body, corpse
346	dati	to give
347	sanje	dreams
348	predsednik	president
349	zakon	law
350	pomagala	to help
351	smel	bold
352	tom	tome
353	briga	care
354	zvečer	in the evening
355	hoteli	hotel
356	spodaj	down, below
357	rešiti	to save
358	srečen	lucky
359	vrat	neck
360	številka	digit, number
361	hočejo	to want
362	pes	dog
363	varno	feminine accusative/instrumental singular
364	tla	floor
365	stric	uncle
366	telo	body
367	odgovor	answer
368	i	used to denote happiness after correct assumption
369	umreti	to die
370	darilo	present, gift
371	skrivnost	secret
372	boljši	comparative degree of dọ́ber
373	noči	night, nighttime
374	sistem	system
375	sedem	seven
376	klic	call
377	hči	daughter
378	ogenj	fire
379	glas	voice
380	srečno	fortunately
381	ura	hour
382	pesem	song
383	zadaj	behind
384	dobi	nominative/instrumental plural of dọ̑b
385	tisoč	thousand
386	znam	first-person singular present of znáti
387	imena	name
388	zdravnik	doctor, physician
389	najbolje	superlative degree of dóbro
390	isti	same
391	mesec	month
392	zgoraj	above
393	pustiti	to leave
394	slab	bad
395	padel	masculine singular l-participle of pásti
396	gospodična	Miss
397	prijateljica	friend, companion
398	imata	to have
399	nikamor	nowhere
400	ključ	key
401	hitreje	comparative degree of hítro
402	zabava	fun, amusement
403	knjigo	book
404	letalo	airplane
405	trije	three
406	zapor	prison
407	vzeti	to take
408	kadar	when
409	prevod	translation
410	jezen	angry
411	naravnost	straight
412	tale	this, this one
413	general	general
414	sredi	Wednesday
415	prihodnost	future
416	mir	peace
417	pivo	beer
418	pogosto	often
419	pismo	letter
420	osem	eight
421	resnica	truth
422	bedak	fool
423	igrati	to play
424	majhen	small
425	ulici	street
426	napaka	mistake, error
427	smer	direction
428	kosilo	lunch
429	posebej	especially
430	najin	our, of us two
431	bodite	second-person plural imperative of bíti
432	pogovor	conversation
433	zrak	air
434	vprašati	to ask
435	čast	honour
436	začetek	beginning
437	soba	room
438	poklicati	to call
439	poročnik	second lieutenant
440	seks	sex
441	pizda	pussy, cunt
442	rok	hand, arm
443	postaja	station
444	ladja	ship
445	voda	water
446	vodja	leader
447	presenečenje	surprise
448	zmeraj	always
449	ples	dance
450	vojna	war
451	nekam	somewhere
452	položaj	position, location
453	gledati	to watch, to observe; to view
454	drek	shit
455	seznam	list
456	okno	window
457	odličen	excellent
458	beseda	word
459	hrbet	back
460	babica	midwife
461	sto	hundred
462	usta	mouth
463	policist	policeman
464	neumen	stupid
465	d	that, so that, so
466	korak	step
467	pozno	late
468	dosti	plenty, enough
469	h	to, for
470	poročilo	report
471	riti	ass; asshole
472	zdravje	health
473	kup	heap, pile
474	prijazen	kind
475	zmagal	third-person singular past of zmagati
476	spomin	memory
477	duh	ghost
478	nesreča	accident
479	dogovor	agreement
480	njihov	their, theirs
481	jezik	tongue
482	red	order
483	razumeti	to understand
484	žalost	sadness
485	gospodar	master
486	nogo	leg
487	prstan	ring
488	vprašaj	question mark
489	ha	expresses laughter
490	spati	to sleep
491	lačen	hungry
492	služba	service
493	profesor	professor
494	hlače	pants, trousers
495	odvetnik	lawyer, attorney
496	padla	masculine dual l-participle
497	vsakič	every time, each time
498	znotraj	inside
499	kraljica	queen
500	ujeli	to catch
501	priča	witness
502	pomemben	important
503	bolan	ill
504	hrana	food
505	sonce	sun
506	dolga	masculine nominative/accusative dual
507	nož	knife
508	jesti	to eat
509	sir	cheese
510	vlada	government
511	stanje	condition
512	noben	nobody, no one
513	kos	piece
514	čaj	tea
515	ukaz	order
516	spoznati	to know
517	vojak	soldier
518	kazen	punishment
519	devet	nine
520	spremeniti	to change, to modify, to alter
521	nos	nose
522	rešitev	solution
523	plačati	to pay
524	zdravilo	medicine, medication
525	varnost	safety
526	jedel	to eat
527	družba	society
528	naenkrat	suddenly
529	slika	picture, image
530	obisk	visit
531	zajtrk	breakfast
532	stranišče	toilet
533	dobrodošel	welcome
534	vlak	train
535	sreča	luck
536	poslušati	to listen
537	pokazati	to show, demonstrate
538	računalnik	computer
539	skupina	group
540	krivda	guilt
541	zlato	gold
