rank	word	english
300	moŝto	translates any noble style, either alone or with an…
301	laboro	job, work
302	ŝia	her, hers
303	certas	to be certain
304	kiujn	whom
305	komprenis	to understand, comprehend
306	iomete	slightly, a little
307	devus	ought, should
308	zorgu	to worry
309	amikoj	friend
310	akvo	water
311	fino	end, ending
312	signifas	to signify, mean
313	malfermu	to open
314	iris	to go
315	sankta	holy, sacred
316	ĵus	just
317	devos	ought; should; must
318	kvin	five
319	virino	woman
320	verŝajne	apparently, likely, probably, presumably
321	lando	country, land, nation
322	atendas	to wait
323	kapablas	can; to be able; to be able to
324	koro	heart
325	barono	baron
326	scii	to know
327	manĝi	to eat
328	damne	damn!
329	restos	to remain, to stay
330	lian	his
331	horo	hour
332	monon	money
333	finfine	at last, finally
334	tial	for that reason
335	almenaŭ	at least
336	multaj	many, a lot
337	nokton	night
338	dek	ten
339	mortos	to die, pass away
340	mono	money
341	malbone	badly
342	pretas	to be ready
343	ilia	Their, theirs
344	forgesis	to forget
345	restas	to remain, to stay
346	vojo	way
347	malpli	less
348	donis	to give
349	okazos	to happen, to occur
350	lasta	last
351	ku	alternative form of kuo
352	restis	to remain, to stay
353	decidis	to decide
354	malbona	bad
355	ege	extremely, immensely, greatly
356	eniru	to enter, go in
357	foriri	to leave, go away
358	tagoj	day
359	apud	near
360	urbo	city, town
361	perdis	to lose
362	knabino	girl
363	grava	important
364	bonas	to be good
365	havi	to have
366	kapo	head
367	mankas	to be lacking, be missing; to be wanting
368	niajn	our, ours
369	parolu	to speak, talk
370	ĉielo	sky
371	okuloj	eye
372	momenton	moment, instant
373	vidos	to see
374	lernejo	school
375	temas	to involve, to be about, to concern
376	petis	to ask for, request, beg, bid
377	sidiĝu	to sit down
378	fakte	actually, indeed, in fact, factually
379	devis	ought; should; must
380	alvenis	to arrive
381	morti	to die, pass away
382	nepre	definitely, without fail
383	siajn	belonging to the subject of the sentence
384	trovi	to find, to retrieve
385	jaro	year
386	pravas	to be right, be correct, have a correct opinion
387	diros	to say, tell
388	mortigi	to kill
389	tiaj	that kind of, such a
390	ŝipo	ship
391	resti	to remain, to stay
392	grandan	big, large
393	kapitano	captain
394	havos	to have
395	homojn	a human being, person
396	hejme	at home
397	traduko	translation
398	manĝu	to eat
399	nomiĝas	to be called, to be named
400	sukcesis	to succeed
401	arbaro	forest
402	avinjo	grandma, granny, nanna, nana
403	edzo	husband
404	pordon	door, gate
405	jarojn	year
406	dua	second
407	same	equally
408	kompreni	to understand, comprehend
409	krom	except, save, sans
410	infano	child
411	nederlanda	Dutch
412	rigardas	to look at, behold, watch, view
413	kelkaj	a few, several
414	liaj	his
415	permesu	to let, permit, allow
416	familio	family
417	planedo	planet
418	laboron	job, work
419	vivi	to live
420	kvar	four
421	revenis	to come back, return
422	problemo	problem, trouble
423	daŭre	continually, ceaselessly, incessantly
424	novan	new
425	trovos	to find, to retrieve
426	laboras	to work
427	prenis	to take, get, seize, lay hold of, pick up
428	aferoj	thing
429	silentu	to be silent
430	veni	to come
431	serĉas	to search, seek, look for
432	loĝas	to live; reside, dwell
433	facile	easily
434	rigardi	to look at, behold, watch, view
435	esperas	to hope
436	tenu	to hold, to keep
437	preni	to take, get, seize, lay hold of, pick up
438	vivu	to live
439	minutoj	minute
440	knaboj	boy
441	provu	to try, attempt
442	donos	to give
443	eta	tiny, little, minuscule, slight
444	filino	daughter
445	kamarado	comrade, pal, buddy
446	revenu	to come back, return
447	sukcesos	to succeed
448	donas	to give
449	nokto	night
450	ambaŭ	both
451	neniun	nobody, no one
452	juna	young
453	volus	would
454	ĉiun	every, all, each
455	parolis	to speak, talk
456	manĝas	to eat
457	gepatroj	parents
458	ŝatus	to like, appreciate
459	funkcias	to function, to work
460	trankviliĝu	to calm down, quiet down
461	momento	moment, instant
462	belega	gorgeous
463	manojn	hand
464	pordo	door, gate
465	multajn	much, a lot
466	fine	finally, at last; at the end
467	pardonon	pardon, forgiveness
468	foriris	to leave, go away
469	sama	same; equal
470	iliaj	Their, theirs
471	muziko	music
472	nomon	name
473	stulta	stupid
474	malfrue	late
475	ĉirkaŭ	around
476	prefere	preferably
477	ekstere	outside
478	ricevis	to receive, to get
479	diable	devilishly
480	vesperon	evening
481	prenos	to take, get, seize, lay hold of, pick up
482	ideo	idea, thought, concept
483	eniri	to enter, go in
484	celas	to aim for, aim at
485	lokon	place; location; spot
486	hieraŭ	yesterday
487	ludi	to play
488	matenon	morning
489	akvon	water
490	mortigos	to kill
491	supre	above, upstairs
492	manoj	hand
493	foje	once, one time, on one occasion
494	lo	The name of the Latin script letter L/l
495	princino	princess
496	pastro	priest, pastor
497	alportis	to bring, fetch
498	onklo	uncle
499	aliajn	other, another
500	adiaŭ	goodbye, farewell
501	daŭrigu	to continue
502	libro	a book
503	skribis	to write
504	libera	free
505	frue	early
506	feliĉa	full of well-being, happy
507	estro	a leader, head of something
508	trankvile	quietly
509	chu	H-system spelling of ĉu
510	eliru	to go out, exit
511	kelkajn	some; a few; a bit
512	stultulo	idiot
513	lumo	light
514	helpon	help, aid
515	hejmo	home
516	labori	to work
517	dormas	to sleep
518	montru	to show, to indicate, to point out
519	kuru	to run
520	mortigis	to kill
521	idioto	idiot
522	flugi	to fly
523	si	himself, herself, itself, themselves, oneself
524	helpos	to help
525	ofte	often
526	fojon	time, occasion
527	siaj	belonging to the subject of the sentence
528	scipovas	to know how
529	suno	the Sun
530	eliri	to go out, exit
531	a	The name of the Latin script letter A/a
532	iuj	some
533	metu	to put, place
534	revido	the act of seeing again; a reunion
535	similas	to resemble
536	doloras	to be hurting; to be sore
537	celo	goal, aim, purpose
538	rapidu	to hasten, hurry
539	doni	to give
540	reveni	to come back, return
541	virinoj	woman
542	okulojn	eye
543	forgesu	to forget
544	veron	truth
545	vero	truth
546	caro	tsar, czar
547	intencas	to intend
548	ŝajne	seemingly; apparently
549	viroj	man
550	infanojn	child
551	alvenas	to arrive
552	staras	to be standing
553	ĝojas	to be glad, happy, or joyful; to rejoice
554	ekzemple	for example
555	ve	alas, woe
556	korpo	body
557	aĉeti	to buy; to purchase
558	kapon	head
559	preta	ready, set
560	supren	up, upwards
561	vento	wind
562	komencis	to start, begin
563	propra	own
564	aŭdi	to hear
565	animo	soul
566	vojon	way
567	sekvu	to follow
568	ĉeestas	to be present
569	oro	gold
570	arbo	tree
571	kian	what kind of, which kind of
572	longa	long
573	sango	blood
574	alportu	to bring, fetch
575	sorĉistino	witch, sorceress
576	popolo	people
577	homa	human
578	tian	that kind of, such a
579	demandas	to ask, inquire, question
580	trajno	train
581	ricevos	to receive, to get
582	terura	terrible
583	antaŭen	forward, forth
584	mondon	world
585	timo	fear
586	rolo	part
587	ene	within, used with "de"
588	foriros	to leave, go away
589	klare	clearly
590	reĝa	royal, regal, kingly
591	ah	alternative form of aĥ
592	ulo	A familiar term for a person, like fellow or guy in the…
593	lasi	to leave
594	demandis	to ask, inquire, question
595	preferas	to prefer
596	malfacile	with difficulty; difficultly
597	profesoro	professor
598	sal	clipping of saluton
599	dormis	to sleep
600	lasis	to leave
601	stranga	strange, odd, peculiar
602	ĉie	everywhere
603	ludo	game
604	timu	to fear
605	aferojn	thing
606	fajro	fire
607	pensu	to think
608	bonvenon	welcome!
609	tria	third
610	sciu	to know
611	alvenos	to arrive
612	ranĉo	ranch
613	forlasis	to abandon, to desert, to forsake
614	ludas	to play
615	sendis	to send
616	ĉambro	room
617	savi	to save, rescue
618	sinjoroj	sir, mister
619	skribi	to write
620	dormi	to sleep
621	mastro	boss
622	paco	peace
623	malaperis	to disappear
624	foriras	to leave, go away
625	nokte	at night
626	fek	crap!, shit!, damn it!
627	ŝtelis	to steal
628	kies	whose, of whom, of which
629	demandi	to ask, inquire, question
630	patron	father
631	parto	part
632	legi	to read
633	forta	strong
634	lasos	to leave
635	atendi	to wait
636	maro	sea
637	bebo	baby
638	falis	to fall
639	terure	dreadfully
640	ia	some kind of
641	atingis	to attain
642	plaĉas	to please, to be pleasing to
643	karulo	darling
644	anstataŭ	instead of
645	pafis	to shoot, to fire
646	matene	in the morning
647	kulpas	to be guilty
648	bonaj	good
649	malgranda	small
650	bele	beautifully
651	mil	thousand
652	polico	police, constabulary
653	eniris	to enter, go in
654	festo	celebration
655	fraŭlino	unmarried woman, spinster
656	malamas	to hate, dislike
657	dankas	to thank
658	kuracisto	doctor, physician
659	horoj	hour
660	diablo	devil
661	aŭto	a car
662	manon	hand
663	speciala	special, particular
664	grandaj	big, large
665	unuan	first
666	domon	house
667	vizaĝo	face
668	ordonis	to order, to command
669	trafis	to hit, strike
670	kaptu	to catch, to capture
671	sidas	to sit
672	finiĝis	to come to an end, finish
673	koron	heart
674	rekte	directly
675	brave	bravely, valiantly
676	ĉiutage	daily, each day
677	avino	grandmother
678	naskiĝis	to be born
679	rakontis	to tell, to narrate, to relate, to recount
680	montri	to show, to indicate, to point out
681	manĝaĵo	food
682	doktoro	doctor
683	cervo	deer
684	iĝos	to become
685	historio	history
686	direktoro	director
687	atingi	to attain
688	dubi	to doubt
689	vortoj	word
690	atendis	to wait
691	finis	to end, finish
692	oficejo	office, place of work
693	uzi	to use
694	aŭskultas	to listen
695	imagu	to imagine
696	flugas	to fly
697	iĝis	to become
698	vespere	in the evening
699	propran	own
700	esperanto	to hope
701	ideon	idea, thought, concept
702	danĝero	danger
703	knabinoj	girl
704	parolos	to speak, talk
705	instruisto	teacher
706	ŝanĝi	to change
707	zorgas	to worry
708	entute	as a whole
709	lingvo	language
710	kiaj	what kind of, which kind of
711	nomas	to name, to call
712	halo	hall
713	kredis	to believe
714	filon	son
715	manĝis	to eat
716	demando	question, interrogative
717	strange	strangely
718	taŭgas	to be fit, suitable
719	ĝardeno	garden
720	aĵoj	a concrete thing or manifestation
721	manĝos	to eat
722	instruis	to inform, instruct, teach, train
723	birdo	bird
724	portas	to carry
725	renkontis	to meet, to encounter
726	viva	alive
727	apartenas	to belong
728	fermu	to close, to shut
729	bedaŭrinde	unfortunately, regrettably
730	mano	hand
731	farus	to do
732	kredi	to believe
733	serĉi	to search, seek, look for
734	hotelo	hotel
735	lumon	light
736	maljuna	old
737	ŝian	her, hers
738	ie	somewhere
739	lernis	to learn; gain or acquire knowledge; study
740	marko	mark, stamp
741	pia	pious
742	bonega	great, very good
743	fiulo	evildoer, malefactor, reprobate
744	militon	war
745	prave	correctly
746	kaptis	to catch, to capture
747	strato	street
748	malnova	old
749	troviĝas	to be found
750	provis	to try, attempt
751	hm	hmm
752	trankvila	quiet, calm, tranquil
753	promesas	to promise
754	pafu	to shoot, to fire
755	kaĉjo	affectionate name for a male cat, kitty
756	ŝatis	to like, appreciate
757	plena	full, complete
758	fojo	time, occasion
759	uzas	to use
760	elektis	to choose, elect
761	infero	hell
762	forte	strongly
763	reĝino	female monarch. queen regnant
764	ĝia	its
765	pasis	to pass; to pass by
766	ruĝa	red
767	metis	to put, place
768	proksime	closely
769	pardonpetas	to excuse oneself, ask for forgiveness
770	plene	fully
771	po	A grammatical particle used with quantity words to indicate…
772	princo	prince
773	ses	six
774	ĝenas	to bother, trouble
775	tiajn	that kind of, such a
776	aŭton	a car
777	apenaŭ	scarcely; barely; hardly
778	nekredeble	incredibly, unbelievably
779	pensi	to think
780	nigra	black
781	trovu	to find, to retrieve
782	morton	death
783	monatoj	month
784	sonas	to sound
785	aĥ	oh!, ow! alas! expression of surprise, disappointment,…
786	komprenu	to understand, comprehend
787	violonisto	violinist
788	telefonis	to telephone
789	vojaĝo	trip, voyage
790	sep	seven
791	malmulte	not much, scantily
792	filmo	film, movie, motion picture
793	legis	to read
794	alie	otherwise, in another way, differently
795	malantaŭ	behind, at the back of
796	respondu	to reply, answer, respond
797	helpo	help, aid
798	flanko	side
799	tuŝu	to touch
800	montros	to show, to indicate, to point out
801	kvankam	although
802	lerni	to learn; gain or acquire knowledge; study
803	reiru	to go back, return
804	komenco	beginning, start, commencement
805	perfekta	perfect, flawless
806	ankoraŭfoje	once again, once more, yet again
807	naturo	nature
808	atenton	attention
809	komencu	to start, begin
810	demandu	to ask, inquire, question
811	precize	precisely
812	mortas	to die, pass away
813	vizaĝon	face
814	gesinjoroj	Mr. and Mrs
815	homon	a human being, person
816	saman	same; equal
817	kostas	to cost
818	moviĝu	to move
819	hundo	dog
820	aĉetis	to buy; to purchase
821	memoru	to remember
822	tiru	to drag, draw, pull
823	aero	air
824	krome	besides, in addition
825	persono	individual, persona, person
826	libron	a book
827	forlasi	to abandon, to desert, to forsake
828	radio	radio
829	edzinon	wife
830	kantas	to sing
831	promesis	to promise
832	rakontu	to tell, to narrate, to relate, to recount
833	avo	grandfather
834	gajnis	to gain, earn
835	bezonos	to need
836	freneza	insane, crazy, mad
837	ordono	order, command
838	helpas	to help
839	steloj	star
840	punkto	point
841	aferon	thing
842	supozas	to suppose
843	savu	to save, rescue
844	ricevas	to receive, to get
845	klaso	class
846	mallumo	darkness
847	absolute	absolutely
848	sole	solely
849	donaco	gift, present
850	nura	only
851	soldatoj	soldier
852	nomis	to name, to call
853	atendos	to wait
854	rekonas	to recognize/recognise
855	ŝancon	luck
856	subite	suddenly
857	nenia	no kind of
858	dudek	twenty
859	veturu	to go by vehicle; to ride; to travel
860	mortu	to die, pass away
861	plian	additional
862	malfruas	to be late
863	sekundoj	second
864	rivero	river
865	kuras	to run
866	lago	lake
867	trovas	to find, to retrieve
868	reen	once more, again
869	rimarkis	to notice
870	malsana	unhealthy, ill, sick
871	super	above, over
872	bestoj	animal
873	armeo	army
874	ŝlosilon	key
875	konsentite	OK; literally agreed!
876	ian	some kind of
877	skribu	to write
878	libroj	a book
879	ĉarma	charming, endearing, delightful, cute
880	horojn	hour
881	problemojn	problem, trouble
882	lastan	last
883	minuton	minute
884	dume	meanwhile
885	portis	to carry
886	pagos	to pay with
887	serioze	seriously
888	cxu	X-system spelling of ĉu
889	minutojn	minute
890	havu	to have
891	duono	half
892	fratoj	brother
893	finu	to end, finish
894	unufoje	one-time; once
895	kelkfoje	sometimes
896	laŭte	loudly
897	savis	to save, rescue
898	porti	to carry
899	farita	to do
900	mirinde	wonderfully, fantastically
901	viziti	to visit
902	luno	moon
903	vivos	to live
904	malamiko	enemy, foe
905	pura	pure, clean
906	trinku	to drink
907	mortintoj	to die, pass away
908	kamaradoj	comrade, pal, buddy
909	spirito	to breathe
910	nome	namely
911	sukcesas	to succeed
912	ricevi	to receive, to get
913	legu	to read
914	jaron	year
915	belan	beautiful, pretty
916	kantu	to sing
917	dirus	to say, tell
918	malbono	badness
919	kuŝas	to lie, to recline
920	belaj	beautiful, pretty
921	feliĉaj	full of well-being, happy
922	gardu	to watch over, look after, keep, guard
923	mortinta	to die, pass away
924	provas	to try, attempt
925	lito	bed
926	imagas	to imagine
927	sklavoj	slave
928	alta	high
929	konsentas	to admit, to agree, to approve, to concur, to consent, to…
930	muzikon	music
931	vivis	to live
932	sentis	to feel, perceive
933	urbon	city, town
934	revenas	to come back, return
935	homaro	humanity, mankind
936	muso	mouse
937	junulo	youth, young person
938	serĉu	to search, seek, look for
939	ŝanĝiĝis	to change
940	feston	celebration
941	demandon	question, interrogative
