rank	word	english
293	binne	in, inside
294	woord	word
295	eintlik	actually, really, properly
296	besluit	to decide
297	gaaf	whole, complete
298	stem	vote
299	oomblik	moment, blink of an eye
300	keiser	emperor
301	koffie	coffee
302	idee	idea
303	gegee	to give
304	musiek	music
305	volg	to follow
306	lig	light; not heavy
307	gesig	face
308	gepraat	to talk, to speak
309	val	to fall
310	sorg	care; worry; concern
311	buite	outside
312	eer	honour
313	moontlik	possible
314	bed	bed
315	vertrou	to trust, confide, depend
316	besig	busy
317	antwoord	answer
318	probleem	problem
319	aanvaar	to accept
320	hoeveel	how much, how many
321	welkom	welcome
322	skool	school
323	presies	exactly, just, right
324	rus	to rest
325	vuur	fire, flame
326	mans	husband
327	meisies	girl
328	weke	week
329	naby	near
330	koop	To buy
331	snaaks	funny, comical
332	week	week
333	waarheid	truth
334	gegaan	to go
335	mevrou	madam, lady
336	sommer	just, no more than
337	wonderlik	amazing, wonderful, great
338	dame	lady
339	vol	full
340	skilder	painter
341	beweeg	to move, to be in motion, to stir
342	ding	thing
343	sodat	so that
344	vertrek	to leave, to depart
345	tante	aunt
346	dans	dance
347	ouers	parent, father or mother
348	haat	hatred
349	bestaan	to exist
350	swaar	heavy
351	huil	to cry; to weep
352	manier	manner, way, mode
353	hul	alternative form of hulle; their
354	slegte	bad
355	oom	uncle
356	hemel	sky
357	film	film
358	mee	with
359	moeg	tired
360	tel	to count
361	sterk	strong
362	bo	above
363	woorde	word
364	kwaad	angry
365	ongelukkig	unfortunate, unlucky
366	veg	to fight
367	versigtig	careful
368	draai	to turn
369	minute	minute
370	warm	warm
371	klink	handle
372	dikwels	often
373	waarvan	of which
374	asof	as if
375	storie	story
376	gewerk	to work
377	ouma	grandmother
378	darem	certainly, indeed, really, at least
379	prinses	princess
380	vas	firm, tight
381	amper	almost
382	kort	short
383	oud	old, aged
384	ry	row
385	onmoontlik	impossible
386	wonder	miracle, wonder
387	baba	baby
388	lug	air
389	stad	city
390	joune	yours; thine
391	maande	A month
392	vier	four
393	vergewe	to forgive
394	ontvang	to receive
395	jare	A year
396	franse	French
397	huwelik	marriage, matrimony
398	gevoel	feel
399	generaal	general, general officer
400	reis	journey, trip, voyage
401	vry	free, unconstrained
402	wyn	wine
403	russe	Russian
404	majoor	major
405	besef	to realise, to notice
406	byna	almost
407	gewees	To be
408	droom	dream
409	vinnig	quick, fast
410	blomme	flower
411	doodmaak	to kill
412	bos	wood, forest
413	klomp	Wooden shoe, clog
414	breek	to break
415	pragtig	beautiful, gorgeous, magnificent
416	sekerlik	surely, certainly
417	nuus	news
418	ryk	rich, wealthy
419	sweer	to swear
420	gevaar	danger, peril
421	maand	A month
422	erken	to acknowledge, to recognise
423	roep	to call, to summon
424	oral	everywhere
425	rok	A dress
426	kaptein	captain, both in the land and naval senses of the rank
427	duitse	German
428	pyn	pain
429	kolonel	colonel
430	einde	end
431	rooi	red
432	plesier	pleasure
433	mis	to miss
434	hare	hers
435	slaan	hit, slap, beat, strike
436	gebou	to build
437	herken	to recognise
438	kies	cheek
439	plaas	farm; a piece of land, usually used for farming
440	tuis	home, at home
441	dié	this; these; that; those
442	hoof	head
443	sedert	since
444	orde	order
445	langs	along, alongside
446	aand	evening
447	gesondheid	health, healthiness
448	venster	window
449	glimlag	smile
450	daarna	thereafter, after that
451	gesond	healthy
452	spel	game, play
453	vrede	peace; tranquility
454	hond	dog
455	verdwyn	to disappear
456	stilte	silence
457	bloed	blood
458	soort	sort, kind
459	elkeen	everyone; everybody
460	skoon	clean; cleansed
461	gooi	to throw
462	voordat	before
463	aangaan	to concern; to be a concern to; to be someone’s business
464	gister	yesterday; the previous day
465	belangrik	important
466	skiet	shoot
467	teken	sign; signal
468	tafel	table
469	lei	to lead
470	see	sea
471	bier	beer
472	belowe	to promise
473	rond	round
474	staat	state
475	boeke	book
476	veilig	safe
477	boek	book
478	toekoms	future
479	soen	kiss
480	vyf	five
481	muur	wall
482	meester	A master
483	tronk	prison
484	soms	sometimes
485	elk	everyone; everybody
486	gelees	to read
487	mal	crazy
488	hertog	duke
489	engelse	English
490	gaste	guest
491	vraag	question
492	melk	milk
493	druk	to press, print
494	koningin	queen
495	gewoonlik	usually, normally
496	vrees	fear, apprehension
497	volk	people
498	hallo	hello
499	grond	ground, dirt, soil
500	verlede	past
501	perd	horse
502	vryheid	freedom
503	ure	hour
504	vlieg	fly
505	hiernatoe	to here
506	wen	to win
507	menere	sir, mister; gentleman
508	liggaam	body
509	kans	chance
510	ses	six
511	i	I
512	koud	cold
513	arm	poor
514	doodgaan	to die
515	aanval	An act of aggression; assault, attack
516	veral	especially, above all
517	vergeef	alternative form of vergewe
518	donker	dark
519	jonk	young
520	spesiale	special
521	probleme	problem
522	swak	weak
523	vrae	question
524	bou	to build
525	ly	to suffer
526	geveg	fight, battle, engagement
527	woonstel	An apartment
528	party	some, a few
529	vlug	flight, escape
530	onderwyser	teacher
531	vinniger	quick, fast
532	asem	breath
533	honger	hunger
534	sand	sand
535	spreek	to speak
536	polisie	police
537	prys	price
538	dorp	town
539	voorbeeld	example
540	juis	exactly, precisely
541	skip	ship
542	verskoning	a pardon; forgiveness
543	hang	to hang
544	verrassing	surprise
545	teenoor	opposite
546	waarheen	whither, where to
547	tuin	A garden, yard
548	saamgaan	accompany; come along
549	gebreek	to break
550	stuk	A piece, part
551	trein	train
552	eenvoudig	simple, plain
553	situasie	situation
554	bal	A ball
555	eendag	once, one day
556	mond	mouth
557	hoed	hat
558	rol	role
559	boodskap	message
560	nader	near, nearby
561	vreemd	strange; odd
562	skielik	suddenly
563	grootste	great; big; large
564	wit	white
565	wind	to wind
566	opdrag	An order, an instruction
567	klim	to climb
568	sluit	to close
569	leër	empty
570	swart	black
571	uitvind	find out
572	brand	destructive, catastrophic fire
573	siel	soul
574	weggaan	to go away, to leave
575	nommer	number
576	fees	party; social gathering
577	persoon	person
578	kasteel	castle
579	vroeër	early
580	tee	tea
581	gryp	to grab
582	krag	strength
583	waarskynlik	probably
584	vroeg	early
585	begrawe	to bury
586	ruik	to smell
587	hardloop	run
588	adres	address, direction
589	groter	great; big; large
590	geskiedenis	history
591	seuns	son
592	geslaap	To sleep
593	hospitaal	hospital
594	hoog	high
595	diep	deep, down low
596	graf	grave
597	jag	hunt, pursuit
598	arms	arm
599	bid	to pray
600	gesit	to sit; to be in a sitting position
601	oortuig	to persuade; to convince
602	russiese	Russian
603	duur	expensive
604	kontak	contact
605	twyfel	doubt
606	foto	photo; photograph
607	voer	to feed; to give food
608	ware	To be
609	bied	to offer
610	admiraal	admiral
611	diens	service
612	name	name
613	materiaal	material
614	perfek	perfect
615	rug	back
616	verwyder	to remove
617	gebly	to live
618	helder	clear, bright
619	m	M
620	vorm	A form, a shape
621	sin	meaning, sense
622	straat	street, road
623	haastig	hasty, rash
624	soldate	soldier
625	mark	market
626	kar	cart
627	miljoen	million
628	blou	blue
629	gang	a passageway, alley
630	ring	ring, hollow circular object
631	derde	third
632	weermag	armed forces
633	skande	disgrace, shame
634	lewer	liver
635	nooi	to invite
636	skei	to separate
637	gas	guest
638	skilderye	painting
639	moord	murder
640	leier	leader
641	diere	animal
642	gevaarlik	dangerous
643	siekte	sickness, illness, disease
644	bome	tree
645	rook	smoke
646	oorleef	to survive
647	geboorte	birth
648	rot	rat
649	regs	On the right
650	deesdae	Nowadays, these days
651	beskou	to consider, to regard
652	ewig	eternal, everlasting
653	yster	iron
654	geskenk	past participle of skenk
655	ontploffing	explosion
656	klere	clothes, clothing
657	les	lesson
658	gehelp	to help
659	dogters	daughter
660	swem	to swim
661	briewe	letter
662	gewen	to win
663	vaar	to sail
664	horlosie	watch
665	gisteraand	last night; yesterday evening
666	steur	to be bothered
667	mees	tit, chickadee
668	vyand	An enemy, a host, a foe
669	vloot	fleet
670	bekend	known
671	bom	bomb, explosive
672	swede	Swede
673	gedra	to carry
674	seisoen	season, time of year
675	weens	on account of, because of, due to
676	volle	full
677	sersant	sergeant
678	kuier	to walk leisurely, to gallivant
679	soldaat	soldier
680	tree	step
681	lied	song, anthem
682	pous	pope
683	middel	means
684	koerant	newspaper
685	laai	to load
686	koue	cold
687	vars	fresh
688	verklaar	to explain, to declare
689	kantoor	office
690	somer	summer
691	reël	rule
692	verhouding	proportion
693	skat	treasure
694	solank	as long as
695	eerlik	honest
696	wet	law
697	glas	glass
698	reguit	straight, straight on
699	noudat	now that
700	kuns	art
701	duits	German
702	verras	to surprise
703	voete	foot
704	skaars	barely, hardly
705	groet	greet
706	vuil	dirty, not clean
707	stryd	struggle
708	kombuis	kitchen
709	la	la
710	berge	mountain
711	tweede	second
712	skree	to shout, to scream
713	lys	list, record
714	minuut	minute
715	nes	like; just like
716	middag	An afternoon
717	d	D
718	let	synonym of Letlander
719	sommige	some
720	foon	A telephone, a phone
721	brood	A loaf of bread
722	hertogin	a duchess
723	respek	respect
724	aankom	arrive
725	bus	bus
726	pole	Pole
727	piramide	pyramid
728	natuur	nature
729	veiligheid	safety, security
730	studeer	to study
731	lieg	to lie
732	skuldig	guilty
733	gees	mind, spirit
734	oog	eye
735	neus	nose
736	skoene	shoe
737	winter	winter
738	lente	spring, the season between winter and summer
739	werkers	worker
740	oefen	to train, instruct
741	vloek	curse, oath
742	gewoond	used, accustomed
743	varke	pig
744	tye	time
745	voet	foot
746	open	to open
747	gekoop	To buy
748	kaart	map
749	gat	hole; perforation
750	aap	A monkey, ape
751	huur	rent
752	groep	group
753	rotte	rat
754	vis	fish
755	kêrel	fellow, lad, chap
756	maat	mate, buddy
757	tien	ten
758	onnosel	foolishly
759	goeiedag	good day
760	teater	theatre
761	skep	to create, make
762	offisier	officer
763	skade	damage
764	hongaarse	Hungarian
765	seuntjie	son
766	honde	dog
767	taal	language
768	perde	horse
769	stukkie	A piece, part
770	slegs	only
771	grens	border, frontier
772	viool	a violin
773	besigheid	business
774	bene	leg of a human or humanoid
775	koor	choir, vocal ensemble
776	geliefde	beloved
777	ingaan	go in; enter
778	nek	neck
779	herinner	to remind
780	tydens	during
781	sag	soft
782	loopbaan	career
783	groei	growth
784	pla	to tease
785	bediende	servant, low-ranking employee
786	dak	roof
787	gewag	to wait
788	vloer	A floor
789	had	to have
790	sekondes	second
791	persoonlik	personally
792	vermaak	entertainment, amusement
793	geleef	to live
794	kruis	X-shape
795	nêrens	nowhere
796	rose	rose
797	frans	French
798	slagoffer	victim
799	susters	sister
800	voëls	A bird
801	wapen	weapon, arms
802	regering	government
803	artikel	article
804	huise	A house, residence
805	jas	coat
806	stasie	station
807	sleutel	key
808	kerk	church
809	reën	rain
810	nè	right? isn't it?
811	verslag	report
812	pret	fun
813	ouens	an old fellow, guy, bloke
814	telefoon	telephone
815	kelder	cellar, basement
816	uitgaan	go out; exit
817	lof	praise
818	rekenaar	computer
819	vaarwel	good-bye, farewell
820	gedrink	to drink
821	waarin	wherein
822	engels	English
823	berg	mountain
824	waardeer	to appreciate, to value
825	spring	to leap, jump
826	verwoes	to destroy; to devastate
827	lessenaar	desk
828	kunstenaar	artist
829	dors	thirst
830	kamers	A room, a chamber
831	vriendin	female friend
832	vriendskap	friendship
833	dog	alternative form of dag
834	vrot	rotten
835	poolse	Polish
836	byt	to bite
837	sterre	star
838	di	obsolete spelling of die
839	steel	to steal
840	aanvalle	An act of aggression; assault, attack
841	kruip	to creep
842	been	leg of a human or humanoid
843	brug	bridge, a structure used to cross a gap or a body of water
844	sewe	seven
845	beskryf	to describe, depict
846	mensdom	humanity, mankind
847	blind	blind
848	hoër	high
849	hoek	corner
850	geskiet	shoot
851	soontoe	there, thither, thereto
852	verjaardag	birthday
853	waarnatoe	to where, whither, whereto
854	boot	boat
855	papier	paper
856	misdaad	crime
857	silwer	made out of silver
858	bank	bench, couch
859	september	September
860	wa	wagon
861	vakansie	holiday, vacation
862	universiteit	university
863	lae	low
864	engel	angel
865	sekere	some, certain
866	sonde	sin
867	dokters	medical doctor, physician
868	belofte	promise
869	gesin	family
870	geloop	to walk
871	den	pine
872	minstens	at least
873	niggie	niece
874	toon	toe
875	vaderland	fatherland
876	gratis	free, without charge
877	stof	material, substance
878	kat	cat
879	politiek	politics
880	vleis	meat
881	laas	last; last time
882	ore	ear
883	ontbyt	breakfast
884	eiers	egg
885	bekostig	to finance, to pay for
886	tande	tooth
887	nuut	new
888	vyande	An enemy, a host, a foe
889	gesprek	talk, conversation
890	dogtertjie	daughter
891	blom	flower
892	beskawing	civilisation
893	goeiemôre	good morning
894	platteland	countryside
895	hoë	high
896	makliker	easy
897	gelê	to lie
898	skuldige	guilty
899	elders	elsewhere, somewhere else
900	groen	green
901	persoonlike	personally
902	oranje	orange
903	baklei	to quarrel, to argue, to fight
904	rof	rough, crude, uneven
905	regeer	to rule, to govern
906	rivier	river
907	agt	eight
