rank	word	english
308	byen	town, city
309	ganger	hall, hallway
310	pengene	money
311	jobb	to work
312	langt	far
313	venner	a friend
314	sitt	her / his / its / their
315	faktisk	actually
316	nesten	nearly, almost
317	drepte	To kill, to murder
318	huset	a house
319	jobben	job, work, employment
320	kjære	dear
321	minutter	a minute
322	gamle	old
323	hjemme	at home
324	venter	to stay put, to wait, to delay
325	ellers	otherwise
326	dagen	a day
327	vårt	our
328	hverandre	each other, one another
329	fire	four
330	begge	both
331	navn	name
332	moren	a mother
333	gutt	a boy
334	be	to pray
335	bak	at the back, behind
336	hørt	to hear
337	natt	night
338	fort	fast, quick, quickly
339	nettopp	just; moments ago, recently
340	familien	a family
341	ferdig	finished
342	herfra	from here
343	drept	To kill, to murder
344	virker	to work
345	tenk	to think
346	mens	while
347	stedet	a place
348	møte	a meeting
349	stille	silent
350	ei	a, an
351	dollar	a dollar
352	lille	small, little
353	engang	once, at one time
354	ett	one
355	måte	manner, way
356	dårlig	badly, poorly
357	hyggelig	nice, pleasant
358	sine	her / his / its / their
359	hodet	head
360	funnet	to find
361	orden	order
362	synes	to appear, seem
363	gode	good
364	ganske	quite, pretty
365	par	a pair
366	senere	late
367	begynner	to begin, start
368	galt	wrong
369	ba	to pray
370	prøve	test
371	slå	to beat, punch, hit, strike
372	tenker	to think
373	vanskelig	difficult
374	vise	wise
375	ringer	ring; a circular piece of material
376	slags	ei / en / et slags ... - a kind / sort / type / variety of
377	ti	ten
378	allerede	already
379	ønsker	a wish
380	del	to divide
381	fortell	to recount, as a story
382	gått	To walk, go
383	hvilken	which
384	prøvde	to try
385	tenke	to think
386	saken	a legal dispute, litigation
387	skyld	blame
388	klare	clear
389	gammel	old
390	bruke	to use
391	uansett	anyway, however
392	slipp	to escape, be let off, to avoid, to not have to do
393	mistet	to lose to cease to be in one's possession or capability
394	viktig	important
395	spør	to ask, inquire
396	sånt	such, like that
397	helst	gladly
398	jente	girl; young woman
399	øyeblikk	moment, blink of an eye
400	tenkt	to think
401	spørsmål	a question
402	mellom	between
403	bor	to live, stay
404	mi	my, mine
405	dør	to die
406	egen	own
407	kvinne	a woman
408	ligger	to lie
409	ord	a word
410	stopp	to stop
411	dro	to pull, draw, drag
412	stemmer	a voice
413	rolig	calm, quiet, peaceful
414	a	from, of
415	nytt	new
416	ber	to pray
417	fortalte	to recount, as a story
418	riktig	correctly, properly
419	all	all
420	fin	fine
421	kommet	to come; to approach or move towards the speaker, another…
422	stå	stop up, stop short, break down
423	lett	to look
424	timer	an hour
425	vente	that which is to come
426	redde	frightened, afraid
427	spise	to eat
428	høres	to hear
429	treffe	to hit, strike
430	setter	a female hare
431	mennesker	a human or human being; man
432	jenta	girl; young woman
433	sitter	to sit
434	sønn	a son
435	legg	to lay, put, place
436	slapp	to escape, be let off, to avoid, to not have to do
437	velkommen	welcome
438	spiller	to play
439	bryr	to bother, trouble
440	ringe	to ring
441	syns	to appear, seem
442	skje	a spoon
443	kaptein	captain; a military officer rank between lieutenant and…
444	fyr	guy, bloke
445	mat	food
446	sette	fixed, determined, or appointed
447	jobbet	to work
448	fyren	guy, bloke
449	di	your, yours
450	leve	to live
451	tak	roof
452	enda	even
453	seks	six
454	selvsagt	of course
455	egentlig	actually
456	bruker	to use
457	mulig	possible
458	gutten	a boy
459	åpne	open
460	finnes	to be, exist, occur, be found
461	best	good
462	lang	long
463	problem	problem
464	full	full
465	problemer	problem
466	ses	to see
467	videre	further, furthermore
468	navnet	name
469	lever	to live
470	holdt	to hold
471	imot	against
472	utenfor	outside
473	spørre	to ask, inquire
474	utrolig	incredibly
475	satt	to seat someone; to cause someone to assume a sitting…
476	kone	housewife, mistress of the house
477	dreper	To kill, to murder
478	sent	late
479	tom	empty
480	fins	to be, exist, occur, be found
481	nede	down at a lower level
482	oppe	up
483	ring	to ring
484	kjeft	mouth
485	lar	to let
486	skjedd	to happen, occur
487	begynte	to begin, start
488	kona	housewife, mistress of the house
489	ringte	to ring
490	hus	a house
491	hater	to hate
492	mindre	less
493	hente	to fetch, get, collect
494	fantastisk	incredible, amazing, fantastic
495	hjelper	to help; to assist; to aid
496	fremdeles	still
497	barna	child
498	gutter	a boy
499	jobbe	to work
500	handler	to act
501	mest	most; used in construction of superlative of long/foreign…
502	spille	to play
503	selvfølgelig	of course, naturally
504	stort	large, big, great
505	fram	alternative form of frem
506	kaller	to call, name
507	ro	to calm, to soothe
508	vennen	a friend
509	glem	to forget
510	rommet	rum
511	kjøre	To drive
512	øynene	an eye
513	tusen	thousand; 1000
514	vann	only used in dann og vann
515	forsiktig	carefully, cautiously
516	sjanse	a chance
517	skolen	school
518	kjører	To drive
519	løp	to run
520	gal	to make a sound characteristic of a rooster; to crow
521	lover	law
522	gangen	hall, hallway
523	resten	remainder, rest
524	side	a page
525	pass	to fit
526	fred	peace
527	sønnen	a son
528	lage	to make
529	plass	room, space
530	familie	a family
531	sannheten	truth
532	ekte	true, genuine, real
533	kjent	to know
534	fri	free, not imprisoned or enslaved
