rank	word	english	ipa
137	estar	to be	/isˈta(ʁ)/
138	queres	to want; to wish; to desire	/ˈkɛ.ɾis/
139	coisas	thing	/ˈkoj.zɐs/
140	homem	male	/ˈõ.mẽj̃/
141	pessoas	person	/peˈso.ɐs/
142	algo	something	/ˈaw.ɡu/
143	pelo	contraction of por + o; by the; for the; through the	/pe.lu/
144	ficar	to become; to get; to end up	/fiˈka(ʁ)/
145	boa	desirable, positive, advantageous	/ˈbo(w).ɐ/
146	sabe	to be aware, to know	/ˈsa.bi/
147	parece	to seem	/paˈɾɛ.si/
148	claro	clearly	/ˈkla.ɾu/
149	dois	two	/ˈdojs/
150	verdade	truth	/veʁˈda.d͡ʒi/
151	tipo	like; comparable to; similar to	/ˈt͡ʃi.pu/
152	preciso	to need	/pɾeˈsi.zu/
153	antes	before	/ˈɐ̃.t͡ʃis/
154	senhor	a man	/sẽˈɲoʁ/
155	lhe	equivalent to a third- or second-person possessive pronoun	/ʎi/
156	podes	to be able to; can	/ˈpɔ.d͡ʒis/
157	apenas	only; just; merely	/aˈpẽ.nɐs/
158	faz	to create; to produce	/ˈfa(j)s/
159	vocês	you	/voˈse(j)s/
160	ninguém	no one; nobody	/nĩˈɡẽj̃/
161	trabalho	to work	/tɾaˈba.ʎu/
162	outra	other	/ˈo(w).tɾɐ/
163	espera	to wait; to await	/isˈpɛ.ɾɐ/
164	saber	to be aware, to know	/saˈbe(ʁ)/
165	comigo	prepositional form with com of eu: with me	/koˈmi.ɡu/
166	vão	to go	/ˈvɐ̃w̃/
167	dinheiro	money	/d͡ʒĩˈɲe(j).ɾu/
168	aí	there	/aˈi/
169	podemos	to be able to; can	/poˈdẽ.mus/
170	pouco	little of something	/ˈpo(w).ku/
171	essa	that	/ˈɛ.sɐ/
172	esse	that	/ˈe.si/
173	grande	large; great; big	/ˈɡɾɐ̃.d͡ʒi/
174	pois	so; then	/ˈpojs/
175	pela	contraction of per + a, literally “by/through the ”:…	/pe.lɐ/
176	qualquer	any; whatever	/ˌkwawˈkɛ(ʁ)/
177	disso	contraction of de + isso, literally “of this thing”: neuter…	/ˈd͡ʒi.su/
178	num	contraction of em + um, literally “in a ”	/ˈnũ/
179	qual	which	/ˈkwaw/
180	desculpa	excuse, pretext	/desˈkuw.pɐ/
181	dela	contraction of de + ela: feminine singular of dele	/ˈdɛ.lɐ/
182	hoje	today	/ˈo.ʒi/
183	toda	every; all	/ˈto.dɐ/
184	deve	should	/ˈdɛ.vi/
185	mulher	woman	/muˈʎɛʁ/
186	queria	to want; to wish; to desire	/keˈɾi.ɐ/
187	fora	outside	/ˈfɔ.ɾɐ/
188	filho	son	/ˈfi.ʎu/
189	cá	here	/ˈka/
190	seja	to be, especially a quality that is intrinsic or not…	/ˈse.ʒɐ/
191	meus	Same as entry above	/mews/
192	nosso	our being addressed	/ˈnɔ.su/
193	olha	to look	/ˈo.ʎɐ/
194	vá	to go	/ˈva/
195	daqui	contraction of de + aqui, literally “from here”	/daˈki/
196	sério	in a serious manner; in a manner concerning serious matters	/ˈsɛ.ɾju/
197	oh	alternative spelling of ó	
198	nossa	our being addressed	/ˈnɔ.sɐ/
199	certeza	certainty	/seʁˈte.zɐ/
200	diz	to speak; to pronounce; to utter; to say	/ˈd͡ʒis/
201	nome	name	/ˈnõ.mi/
202	às	contraction of a + as f pl: feminine plural of ao	/as/
203	outro	other	/ˈo(w).tɾu/
204	todo	every; all	/ˈto.du/
205	dar	to transfer one’s possession of something to someone…	/ˈda(ʁ)/
206	tentar	to try, go for, attempt	/tẽˈta(ʁ)/
207	sair	to exit; to leave; to get out	/saˈi(ʁ)/
208	têm	to own; to possess; to have; to have got	/ˈtẽj̃/
209	quanto	as	/ˈkʷɐ̃.tu/
210	pensar	to think	/pẽˈsa(ʁ)/
211	mal	badly	/ˈmaw/
212	volta	to return; to come back	/ˈvɔw.tɐ/
213	aconteceu	to happen; to occur; to take place	/a.kõ.teˈsew/
214	consigo	third-person singular reflexive prepositional pronoun with…	/kõˈsi.ɡu/
215	três	three	/ˈtɾe(j)s/
216	mundo	world	/ˈmũ.du/
217	menos	less	/ˈmẽ.nus/
218	amigo	friend	/aˈmi.ɡu/
219	contigo	with you	/kõˈt͡ʃi.ɡu/
220	embora	away; hence	/ẽˈbɔ.ɾɐ/
221	numa	contraction of em + uma, literally “in a ”: feminine…	/ˈnũ.ɐ/
222	passa	to pass; to pass by	/ˈpa.sɐ/
223	porquê	why	/puʁˈke/
224	problema	problem	/pɾoˈblẽ.mɐ/
225	carro	cart	/ˈka.ʁu/
226	lado	side	/ˈla.du/
227	vezes	times	/ˈve.zis/
228	nas	contraction of em + as, literally “in the”: feminine plural…	/nas/
229	fez	to create; to produce	/ˈfe(j)s/
230	seus	his	/ˈsews/
231	novo	recently made or created	/ˈno.vu/
232	merda	shit; faeces	/ˈmɛʁ.dɐ/
233	parte	to split	/ˈpaʁ.t͡ʃi/
234	todas	every; all	/ˈto.dɐs/
235	aos	contraction of a + os, literally “to the ”: masculine…	/aws/
236	obrigada	obligatory; mandatory	/o.bɾiˈɡa.dɐ/
237	primeiro	first	/pɾiˈme(j).ɾu/
238	será	to be, especially a quality that is intrinsic or not…	/seˈɾa/
239	lugar	place	/luˈɡaʁ/
240	voltar	to return; to come back	/vowˈta(ʁ)/
241	pensei	to think	/pẽˈsej/
242	algum	some, any	/awˈɡũ/
243	achas	to find; to encounter	/ˈa.ʃɐs/
244	vem	to come	/ˈvẽj̃/
245	dentro	inside	/ˈdẽ.tɾu/
246	família	family; nuclear family	/faˈmi.ljɐ/
247	ali	there	/aˈli/
248	razão	reason	/ʁaˈzɐ̃w̃/
249	aquele	that	/aˈke.li/
250	dias	period between sunrise and sunset	/ˈd͡ʒi.ɐs/
251	fui	to go	/ˈfuj/
252	anda	to walk	/ˈɐ̃.dɐ/
253	querida	dear	/keˈɾi.dɐ/
254	sabia	to be aware, to know	/saˈbi.ɐ/
255	duas	two	/ˈdu.ɐs/
256	ideia	idea	/iˈdɛj.ɐ/
257	hora	hour	/ˈɔ.ɾɐ/
