rank	word	english
301	sous	below, under
302	rester	to stay
303	amis	friend
304	prends	to take
305	fini	to finish, end, complete
306	hommes	man
307	tué	to kill
308	question	issue, matter, topic, problem
309	partie	divided into two equal parts vertically, per pale; said of…
310	histoire	story
311	devrais	must, to have to, should
312	aide	to help; to aid
313	dernière	last
314	demande	to ask
315	chercher	to look for, to seek
316	pensais	to think, reflect, concentrate one's mind on something
317	genre	like, kind of
318	seulement	only
319	police	cop
320	car	as, since, because, for
321	mois	month
322	frère	brother
323	laisser	to leave, to leave behind
324	aucun	no, none, not any
325	mettre	to put; to place
326	eux	they
327	laisse	to leave, to leave behind
328	chaque	each
329	ville	town, city
330	arrivé	to arrive
331	devrait	must, to have to, should
332	parlé	to speak, talk
333	vont	to go
334	longtemps	for a long time; over a long period
335	aucune	no, none, not any
336	heures	hour, time
337	bébé	baby
338	place	place, square, plaza, piazza
339	revoir	to see again
340	putain	fuck, fucking hell, bloody hell
341	compris	to understand, comprehend
342	ni	neither; nor
343	savais	to know
344	leurs	their
345	étaient	to be
346	attention	vigilance
347	donner	to give, to transfer the possession/holding of something to…
348	affaire	business; matter; affair
349	endroit	place, spot
350	pourrais	can, to be able to
351	corps	body
352	façon	way; manner; fashion
353	donné	to give, to transfer the possession/holding of something to…
354	est-il	is he
355	voici	ago
356	train	pace
357	dont	of/from whom/which, whose; whereof
358	écoute	to listen
359	yeux	eye, organ that is sensitive to light, helping organisms to…
360	trouve	to find; to retrieve something lost, turn up something…
361	pouvoir	can, to be able to
362	type	type; sort, kind
363	perdu	to lose
364	premier	first
365	première	first
366	côté	as for, in terms of
367	point	full stop, period
368	tellement	so; so much; very
369	main	hand
370	tiens	to have; to hold
371	sois	to be
372	enfant	child
373	vieux	old
374	matin	morning
375	venu	to come
376	pardon	excuse me
377	là-bas	there, over there
378	suite	result
379	vers	towards
380	minutes	minute
381	demandé	to ask
382	venez	to come
383	devant	confronted with, faced with
384	dr	abbreviation of docteur
385	enfin	finally; in the end
386	arrêter	to stop, to come to a standstill; to halt, to stop from…
387	cause	case
388	nouvelle	new, novel
389	attendez	to wait for, to await
390	chambre	a room
391	droit	straight, straight on
392	parti	to go away, leave, depart
393	mis	to put; to place
394	eau	water, a liquid that is transparent, colorless, odorless,…
395	compte	to count
396	dirait	to say, to tell
397	terre	earth; soil
398	belle	handsome, fine, attractive
399	espère	to hope
400	aimerais	to love
401	loin	far, distant
402	mari	husband
403	donne	to give, to transfer the possession/holding of something to…
404	fin	end, close, finish
405	croire	to believe
406	mme	abbreviation of Madame
407	aura	to have; to own; to possess; to get
408	gros	big, thick, fat
409	boulot	work
410	plutôt	rather, instead
411	chérie	cherished; beloved
412	prêt	ready
413	filles	girl
414	bureau	desk
415	mourir	to die; to be dying
416	hier	yesterday
417	possible	the possible, feasible, what can be done, achieved etc
418	jouer	to play
419	demander	to ask
420	celui	the one
421	voulait	to want, wish, desire
422	beau	in vain
423	jeune	young
424	euh	er, um, uh; expressing hesitation, reflection, confusion,…
425	dehors	outside
426	docteur	a doctor
427	a-t-il	The interrogative form of avoir in the third-person…
428	confiance	confidence
429	appeler	to call
430	années	year
431	vérité	truth
432	école	school
433	chef	head
434	femmes	woman
435	propos	aim, intention
436	semaine	week
437	vivre	to live
438	regardez	to look at
439	feu	fire
440	journée	day
441	madame	a title or form of address for a woman, formerly for a…
442	téléphone	telephone
443	près	near; close
444	affaires	business; matter; affair
445	meilleur	good
446	devez	must, to have to, should
447	dessus	on
448	mains	hand
449	penses	to think, reflect, concentrate one's mind on something
450	prie	to pray
451	équipe	team
452	vas-y	go ahead; go on
453	grande	big
454	manger	to eat
455	arriver	to arrive
456	dur	hard
457	guerre	war
458	ait	to have; to own; to possess; to get
459	appelé	to call
460	marche	to walk
461	sécurité	security, safety
462	garçon	boy
463	essaie	to test, to try on
464	important	large, considerable, significant
465	dites	to say, to tell
466	exactement	exactly, quite
467	font	to do
468	fort	strongly
469	presque	almost
470	plein	due
471	derrière	behind
472	ben	Well; uh
473	mariage	marriage
474	parents	relative, relation, family member
475	capitaine	captain, leader
476	dernier	last
477	fou	mad, crazy
478	ceux	the one
479	tomber	to fall
480	attendre	to wait for, to await
481	vue	given
482	pensé	to think, reflect, concentrate one's mind on something
483	souviens	to remember
484	envie	desire, lust, urge
485	fête	winter holidays
486	jeu	game
487	génial	ingenious, characteristic of a genius
488	pays	land; region; home ground; homeland; home country; country;…
489	garde	to keep; to retain; to store; to save
490	cours	courtyard
491	bientôt	soon
492	numéro	number
493	personnes	person
494	cinq	five
495	parfait	perfect
496	excusez-moi	excuse me
497	laissé	to leave, to leave behind
498	ainsi	in this way, thus
499	retour	return
500	semble	to seem, to resemble, to look like
501	autant	so much
502	peine	punishment
503	minute	wait a sec!
504	essayé	to test, to try on
505	plan	map
506	instant	pressing, insistent
507	serai	to be
508	prison	prison
509	penser	to think, reflect, concentrate one's mind on something
510	essayer	to test, to try on
511	prend	to take
512	arme	weapon
513	mauvais	bad
514	mot	word
515	travailler	to work
516	quatre	four
517	rentrer	to go back, to re-enter
518	regarder	to look at
519	choix	choice
520	parfois	sometimes
521	film	movie, film
522	abord	the manner with which one acts in the presence of another…
523	voyez	to see
524	faute	error, mistake
525	facile	easy, simple
526	croyais	to believe
527	bas	low
528	changer	to exchange
529	entendre	to hear
530	plaisir	pleasure
531	heureux	happy
532	entrer	to enter
533	voudrais	to want, wish, desire
534	propre	own
535	étiez	to be
536	tour	tower
537	fera	to do
538	ensuite	in turn, subsequently, thereafter, then
539	garder	to keep; to retain; to store; to save
540	agent	agent
541	allait	to go
542	lit	to read
543	travaille	to work
544	adore	to love, to adore
545	amie	friend
546	rendre	to return, to restore, to give back
547	allons-y	let's go
548	route	road
549	lieu	place
550	année	year
551	voit	to see
552	commence	to begin, commence
553	service	cutlery
554	devoir	duty
555	attend	to wait for, to await
556	drôle	funny, amusing
557	difficile	difficult
558	sûre	sure, certain
559	pire	bad
560	peuvent	can, to be able to
561	sujet	subject
562	état	state, condition
563	ceci	this
564	impossible	unbearable
565	sorte	to exit, go out, come out
566	perdre	to lose
567	dollars	dollar, usually the US dollar
568	voulu	to want, wish, desire
569	morte	dead
570	ira	to go
571	faisait	to do
572	bizarre	bizarre, odd, strange, funny
573	oublié	to forget
574	arrêtez	to stop, to come to a standstill; to halt, to stop from…
575	ferai	to do
576	serais	to be
577	tôt	early
578	inquiète	worried
579	payer	to pay
580	coeur	nonstandard spelling of cœur
581	dès	starting from onward; as early as
582	pouvais	can, to be able to
583	reviens	to come back, to return
584	chien	dog
585	suffit	to be enough, to suffice
586	prenez	to take
587	pensez	to think, reflect, concentrate one's mind on something
588	café	coffee
589	calme	to calm, pacify, soothe
590	cherche	to look for, to seek
591	montrer	to show
592	parles	to speak, talk
593	photo	photo
594	ferme	to shut
595	problèmes	problem
596	cœur	heart
597	sûrement	surely, certainly
598	verre	glass
599	aimes	to love
600	devons	must, to have to, should
601	veulent	to want, wish, desire
602	doute	doubt
603	musique	music
604	courant	to run
605	sauf	except, save
606	moyen	method, way of doing
607	nouvelles	new, novel
608	puis-je	an interrogative form of je peux
609	avis	opinion
610	sauver	to save, rescue; to protect
611	hôpital	hospital
612	questions	issue, matter, topic, problem
613	meurtre	murder
614	sérieux	serious
615	seconde	second
616	trucs	procedure, technique
617	comprendre	to understand, comprehend
618	allais	to go
619	esprit	immaterial or incorporeal substance
620	cool	cool! great!
621	mlle	abbreviation of Mademoiselle
622	marché	to walk
623	fous	mad, crazy
624	haut	high
625	salle	hall
626	malade	ill, unwell, sick
627	changé	to exchange
628	gentil	kind, sweet
629	allé	to go
630	six	six
631	simple	single
632	semaines	week
633	celle	the one
634	appris	to learn
635	seigneur	lord
636	dîner	to dine
637	sors	to exit, go out, come out
638	commencé	to begin, commence
639	suppose	to suppose, to think, to reckon, to surmise
640	chemin	path, way, road
641	partout	everywhere
642	bras	arm
643	cul	butt, bum, ass, arse
644	prochaine	upcoming
645	visage	face
646	meilleure	best
647	face	surface, side
648	soirée	evening
649	roi	king
650	surtout	above all
651	retard	delay
652	écrit	to write
653	livre	book
654	rapport	ratio
655	chéri	cherished; beloved
656	message	message
657	vaut	to be worth
658	ferais	to do
659	morts	dead
660	boire	to drink
661	soyez	to be
662	président	president
663	plait	post-1990 spelling of plaît
664	bois	to drink
665	sinon	except, apart from
666	erreur	error
667	mr	abbreviation of Monsieur
668	rentre	to go back, to re-enter
669	rendez-vous	date
670	devait	must, to have to, should
671	revenir	to come back, to return
672	joue	to play
673	pauvre	poor
674	devenir	future
675	s	abbreviation of sud; south
676	rencontrer	to meet
677	sort	to exit, go out, come out
678	commencer	to begin, commence
679	pouvait	can, to be able to
680	occupe	to occupy, to take up
681	entends	to hear
682	souvent	often
683	pièce	room in a house, etc
684	reçu	to receive
685	grave	much; a lot
686	mets	to put; to place
687	intérieur	interior
688	honneur	honor
689	dormir	to sleep
690	an	year
691	faux	badly; inaccurately; untruly
692	messieurs	mister, sir
693	groupe	group
694	rêve	dream
695	carte	card
696	aviez	to have; to own; to possess; to get
697	appel	call
698	manque	to lack; to be lacking in; to be short of
699	envoyé	to send
700	début	start, beginning
701	puisse	can, to be able to
702	écoutez	to listen
703	bonsoir	good evening
704	content	content, satisfied, pleased
705	secret	secrecy
706	venue	feminine singular of venu
707	cher	dearly
708	effet	effect
709	voyons	to see
710	sac	bag, sack
711	continue	to continue
712	acheter	to purchase; buy
713	voix	voice
714	certains	certain, guaranteed
715	occuper	to occupy, to take up
716	noël	A Christmas gift
717	gagner	to win
718	grâce	grace, charm
719	maître	master
720	prix	prize
721	mauvaise	bad
722	général	general
723	âge	age
724	long	length
725	rue	street, road
726	tirer	to draw, drag, pull
727	apprendre	to learn
728	cheveux	a headhair
729	noir	black in colour
730	promis	to promise
731	avaient	to have; to own; to possess; to get
732	patron	a boss, employer
733	avocat	lawyer, attorney
734	force	strength
735	accident	accident
736	dix	ten
737	probablement	probably
738	laissez	to leave, to leave behind
739	bout	end, extremity, tip
740	ordre	order
741	armes	weapon
742	cru	to believe
743	déteste	to hate, to detest
744	retrouver	to find; to rediscover
745	millions	million
746	incroyable	incredible
747	voyage	trip, journey, voyage
748	ailleurs	elsewhere; somewhere else
749	oublie	to forget
750	ressemble	to resemble
