rank	word	english	ipa
157	jaoks	for	/ˈjɑo̯ks/
158	pea	almost	/peɑ̯/
159	valmis	completed	/ˈvɑlmis/
160	teada	to know	/ˈteɑ̯d̥ɑ/
161	ütles	to say	/ˈytles/
162	rohkem	many, a lot	/ˈrohkem/
163	alati	always	/ˈɑlɑti/
164	teile	road, way	/ˈtei̯le/
165	saad	to get, to receive	/sɑːd̥/
166	saada	to get, to receive	/ˈsɑːd̥ɑ/
167	ning	and	/ˈninɡ̊/
168	raha	money	/ˈrɑhɑ/
169	lase	to let, to allow, to permit	/ˈlɑse/
170	siit	from here	/siːt/
171	kohta	about	/ˈkohtɑ/
172	praegu	now, at the moment, currently	/ˈprɑe̯ɡ̊u/
173	liiga	too	/ˈliːɡ̊ɑ/
174	sellega	this	/ˈselːeɡ̊ɑ/
175	minuga	I	/ˈminuɡ̊ɑ/
176	rääkida	to talk, to speak	/ˈræːkid̥ɑ/
177	alla	down, to below	/ˈɑlːɑ/
178	kurat	a devil, an evil spirit	/ˈkurɑt/
179	juurde	to nearby something	/ˈjuːrd̥e/
180	temaga	he/she	/ˈtemɑɡ̊ɑ/
181	arvad	to believe, to assume, to think	/ˈɑrvɑd̥/
182	olin	to be	/ˈolin/
183	sinna	there	/ˈsinːɑ/
184	tore	fine, splendid	/ˈtore/
185	lahti	open	/ˈlɑhti/
186	selles	this	/ˈselːes/
187	aeg	An endless and unlimited duration with hours, days, years…	/ˈɑe̯ɡ̊/
188	kindel	sure, certain	/ˈkind̥el/
189	näha	to see	/ˈnæhɑ/
190	kuhu	where, where ... to	/ˈkuhu/
191	teil	road, way	/tei̯l/
192	peab	to keep, to hold	/ˈpeɑ̯b̥/
193	parem	rather than	/ˈpɑrem/
194	korda	time, occasion	/kˈord̥ɑ/
195	iga	any	/ˈiɡ̊ɑ/
196	aitäh	thank you, thanks	/ˌɑi̯tˈtæhː/
197	kuule	A large luminous celestial body seen from the Earth at night	/ˈkuːle/
198	polnud	contraction of ei + olnud	/ˈpolnud̥/
199	head	good	/heɑ̯d̥/
200	õigus	justice	/ˈɤi̯ɡ̊us/
