rank	word	english	ipa
165	radiš	to work	/ˈradɪʃ/
166	tata	dad, daddy	/tâta/
167	volim	to love	/ˈvolɪm/
168	dobar	good	/dôbar/
169	im	to them	/im/
170	svoje	one's own	/ˈsvoje/
171	stvar	thing	/stʋâːr/
172	dva	two	/dʋâː/
173	idem	to go, walk	/ˈidɛm/
174	neću	to wish, want, desire	/něːt͡ɕu/
175	tko	who	/tkô/
176	vremena	time	/ˈvrɛmɛnɐ/
177	vidi	third-person singular present	/ˈvidɪ/
178	bude	third-person singular present of bȉti	/bûdeː/
179	nisu	to be, to exist	/nǐːsu/
180	vrijeme	time	/ʋrjěːme/
181	njega	of him	/ɲêɡa/
182	evo	look, see, behold	/ˈɛvo/
183	imao	to have, possess, own	/ˈimɐo/
184	danas	today	/dǎnas/
185	život	life	/ʒǐʋot/
186	kažem	to say, to state	/ˈkaʒɛm/
187	nikada	never	/nîkada/
188	odmah	right now, immediately	/ôdmaːx/
189	zna	to know	/ˈzna/
190	kući	home, at home	/kût͡ɕi/
191	puno	much, a lot, lots	/pûno/
192	ime	name	/îme/
193	neka	let, may	/ˈnɛkɐ/
194	tri	three	/trîː/
195	tim	team	/ˈtim/
196	upravo	exactly, precisely	/upraʋo/
197	možete	can, to be able to	/ˈmoʒɛtɛ/
198	tobom	with you	/tôboːm/
199	svoj	one's own	/ˈsvoj/
200	koju	which, what	/ˈkojʊ/
201	svoju	feminine accusative singular of svȏj	/ˈsvojʊ/
202	pre	before, earlier	/prê/
203	toliko	that much/many, so much/many, as much/many	/tolǐkoː/
204	uvek	always	/ûʋeːk/
205	neki	some	/nêkiː/
206	mnom	me	/mnôːm/
207	oko	around, about, roughly, approximately	/ôko/
208	opet	again	/ôpeːt/
209	kaže	to say, to state	/ˈkaʒɛ/
210	jesam	first-person singular present of bȉti	/ˈjesɐm/
211	god	generalization particle	/ɡôːd/
212	ide	to go, walk	/ˈidɛ/
213	sranje	A very difficult situation, big trouble	/srǎːɲe/
214	jednom	once, one time	/jědnoːm/
215	radim	to work	/ˈradɪm/
216	čak	even	/t͡ʃâk/
217	nismo	to be, to exist	/nǐːsmo/
218	čemu	whereto, whither; to what	/t͡ʃěmu/
219	sigurno	certainly	/sîɡuːrno/
220	žena	woman	/ʒěna/
221	vidimo	first-person plural present	/ˈvidɪmo/
222	postoji	to be, exist	/ˈpostojɪ/
223	nemam	not to have	/ˈnɛmɐm/
224	ta	that, the aforementioned	/tâː/
225	godine	year	/ˈɡodɪnɛ/
226	novac	money	/nǒʋat͡s/
227	jako	very, very much, really	/jâːko/
228	znao	to know	/ˈznao/
229	tebi	to you	/têbi/
230	trebao	to be needed, to be required	/ˈtrɛbɐo/
231	otac	father	/ǒtat͡s/
232	vreme	time	/ʋrěːme/
233	prvi	first	/př̩ʋiː/
234	dovoljno	enough, sufficiently	/dôʋoːʎno/
235	veoma	very, very much, extremely	/ʋěoma/
236	ovamo	hither, this way	/ǒʋaːmo/
237	želi	to wish, desire	/ˈʒɛlɪ/
238	puta	times	/pǔːtaː/
239	pravu	pure, true, genuine	/ˈpravʊ/
240	drugi	second	/drûɡiː/
241	njih	of them	/ɲîːx/
242	prema	towards, at	/prêma/
243	imate	to have, possess, own	/ˈimɐtɛ/
244	dalje	far	/dâʎeː/
245	jedna	one	/ˈjednɐ/
246	sutra	tomorrow	/sûtra/
247	problem	problem	/prǒbleːm/
248	pomoći	help	/pomǒt͡ɕi/
249	vrlo	very, extremely	/ʋr̂lo/
250	nakon	after	/nǎkon/
251	zajedno	together	/zâjedno/
252	vidiš	second-person singular present of videti and vidjeti	/ˈvidɪʃ/
253	niko	no one, nobody	/nîko/
254	dušo	soul	/ˈduʃo/
255	sebe	myself	/sêbe/
256	ova	feminine nominative singular	/ǒʋaː/
257	dosta	enough, sufficiently	/dôsta/
258	odavde	from here	/ôdaːʋde/
259	ma	bah, whatever	/mâ/
260	kroz	through	/krôz/
261	drago	to be glad, pleased, delighted	/drâːɡo/
262	vrata	neck	/ʋrǎːta/
263	vidio	to see	/ˈvidɪo/
264	koga	of whom	/kǒɡa/
265	nekoliko	some, several, a few	/nêkoliko/
266	siguran	sure, certain	/sîɡuːran/
267	mogla	can, to be able to	/ˈmoɡlɐ/
268	došao	to come, arrive	/ˈdoʃɐo/
269	brzo	quickly, rapidly	/br̂ːzo/
270	način	way, method, approach, manner	/nǎːt͡ʃin/
271	njim	him	/ɲîːm/
272	pod	under, beneath	/pôd/
273	vidjeti	to see	/ʋîdjeti/
274	zaista	indeed	/zâista/
275	svaki	every, each	/sʋâkiː/
276	par	pair, couple	/pâːr/
277	gore	up, above	/ɡôre/
278	unutra	inside, indoors, in	/ǔnuːtra/
279	dođi	to come, arrive	/ˈdodʑɪ/
280	ovu	this, this one	/ˈovʊ/
281	ići	to go, walk	/ǐt͡ɕi/
282	dugo	for a long time	/dûɡo/
283	desilo	to happen, occur	/ˈdɛsɪlo/
284	ponovo	repeatedly, once again	/pônoʋo/
285	mali	small	/ˈmalɪ/
286	mogli	can, to be able to	/ˈmoɡlɪ/
287	minuta	minute	/minǔːta/
288	protiv	against	/prôtiʋ/
289	pravo	straight	/prâʋo/
290	isto	as well, also, too, likewise	/ˈisto/
291	nama	to us	/nâma/
292	previše	too much / too many	/prêʋiʃeː/
293	naš	our, ours	/nâʃ/
294	ćete	second-person plural present of htȅti/htjȅti	/ˈtɕɛtɛ/
295	mog	genitive masculine/neuter	/ˈmoɡ/
296	ovako	in this way, thus, like so	/oʋǎkoː/
297	imaju	to have, possess, own	/ˈimɑjʊ/
298	prvo	that which is the first	/ˈprvo/
299	noć	night, nighttime	/nôːt͡ɕ/
300	nećeš	to wish, want, desire	/nêːt͡ɕeːʃ/
301	loše	bad, malicious	/ˈloʃɛ/
302	imala	to have, possess, own	/ˈimɐlɐ/
303	pusti	to let, let go, release	/ˈpustɪ/
304	preko	over	/prêko/
305	osim	except, besides	/ôsiːm/
306	vaš	your, yours	/ʋâʃ/
307	mjesto	instead of	/mjêsto/
308	vama	to you	/ʋâma/
309	imati	to have, possess, own	/ǐmati/
310	kasnije	later on, afterwards	/kǎsnijeː/
311	majka	mother	/mâːjka/
312	naći	to find, discover	/nǎːt͡ɕi/
313	večeras	this evening	/ʋet͡ʃěras/
314	ovom	this, this one	/ˈovom/
315	momci	a young man, lad	/ˈmomtsɪ/
316	dakle	so, thus, therefore	/dâkleː/
317	budem	to be, to exist	/ˈbudɛm/
318	pravi	pure, true, genuine	/prâːʋiː/
319	auto	car, automobile	/ǎuto/
320	video	to see	/ˈvidɛo/
321	teško	heavily	/têːʃko/
322	niste	to be, to exist	/nǐːste/
323	doći	to come, arrive	/dôːt͡ɕi/
324	vratiti	to return, come back	/ʋrǎːtiti/
325	čovjek	man, person	/t͡ʃǒʋjek/
326	one	they; nonvirile third-person plural pronoun, used for all…	/ǒne/
327	ljude	people, men	/ˈʎudɛ/
328	želite	to wish, desire	/ˈʒɛlɪtɛ/
329	broj	number	/brôːj/
330	čuo	to hear	/ˈtʃuo/
331	radio	to work	/râːdio/
332	imali	to have, possess, own	/ˈimɐlɪ/
333	njegov	his	/ɲěɡoʋ/
334	istina	truth	/îstina/
335	zapravo	in fact, really, actually	/zâpraʋo/
336	mislite	to think	/ˈmislɪtɛ/
337	znati	to know	/znâti/
338	zove	to call, to be called	/zǒʋe/
339	misli	to think	/ˈmislɪ/
340	sviđa	to like, please	/ˈsvidʑɐ/
341	budi	second-person singular imperative of bȉti	/ˈbudɪ/
342	pomoć	help	/pômoːt͡ɕ/
343	ruke	arm	/ˈrukɛ/
344	ju	her	/ju/
345	kakav	what kind of	/kǎkaːʋ/
346	tip	type	/tîːp/
347	nju	her	/ɲûː/
348	pet	five	/pêːt/
349	netko	someone, somebody	/nêtko/
350	dobiti	profit	/dǒbiti/
351	uz	up, upward	/uz/
352	izvinite	sorry!	/ˈizvɪˌnɪtɛ/
353	ideš	to go, walk	/ˈidɛʃ/
354	rekli	to say	/ˈrɛklɪ/
355	onaj	that, that one	/ˈonɑj/
356	čini	third-person present singular of čìniti	/ˈtʃinɪ/
357	mrtav	dead, deceased	/mřtaʋ/
358	kuće	house	/ˈkutɕɛ/
359	vezi	connection, link	/ˈvɛzɪ/
360	oprosti	sorry!	/ˈoprostɪ/
361	prijatelj	friend	/prîjateʎ/
362	svojim	one's own	/ˈsvojɪm/
363	novi	new	/ˈnovɪ/
364	ubiti	to kill, murder	/ǔbiti/
365	raditi	to work	/rǎːditi/
366	iza	behind	/iza/
367	no	but, however	/no/
368	lepo	beautifully, nicely	/lêːpo/
369	bit	essence	/bîːt/
370	svog	one's own	/ˈsvoɡ/
371	lijepo	beautifully, nicely	/ljêːpo/
372	veze	connection, link	/ˈvɛzɛ/
373	dobio	to receive, get, obtain, acquire	/ˈdobɪo/
374	otišao	to leave, part, depart	/ˈotɪˌʃɐo/
375	otići	to leave, part, depart	/otǐːt͡ɕi/
376	sebi	to myself	/sêbi/
377	posla	job	/ˈposlɐ/
378	jednostavno	simply	/jêdnostaːʋno/
379	e	hey	/ˈɛ/
380	znala	to know	/ˈznalɐ/
381	nekoga	genitive of nȅtko / nȅko	/nêkoɡa/
382	života	life	/ˈʒivotɐ/
383	sin	son	/sîːn/
384	govori	speech	/ˈɡovorɪ/
385	bismo	first-person plural aorist of bȉti	/ˈbismo/
386	njima	to them	/ɲîma/
387	sama	self	/ˈsamɐ/
388	poput	like, as, such as	/pôpuːt/
389	ipak	still, however, but, yet, anyway, nevertheless,…	/îpaːk/
390	oprostite	sorry!	/oprǒstite/
391	njom	her	/ɲôːm/
392	pitanje	question	/pǐːtaːɲe/
393	nekog	genitive of nȅtko / nȅko	/nêkoɡ/
394	ćao	hi!	/t͡ɕâːo/
395	budeš	to be, to exist	/ˈbudɛʃ/
396	srce	a heart	/sr̩̂t͡se/
397	voli	to love	/ˈvolɪ/
398	skoro	soon	/skǒro/
399	nazad	back, backwards	/nâzaːd/
400	učiniti	to do, make	/ut͡ʃǐniti/
