rank	word	english	ipa
132	vairāk	more	/ˈʋairaːːk/
133	notiek	to happen	/ˈnuotiek/
134	pats	self	[ˈpat͡s]
135	vienmēr	always; permanently; constantly; at any time	[ˈviɛ̯̂nmǣːɾ]
136	viņas	her, of her; genitive singular of viņa	/ˈʋiɲas/
137	nevaru	to not be able to; negative form of varēt	/ˈneʋaru/
138	vari	can; to be able to	/ˈʋari/
139	vienkārši	simply	/ˈʋieːnkaːrʃi/
140	tavu	your, yours	/ˈtaʋu/
141	dari	to do	/ˈdari/
142	bez	without	/ˈbez/
143	iet	to go, to walk	[iɛ̂t]
144	pret	against	/ˈpret/
145	ej	to go, to walk	/ˈej/
146	nebija	was not; third-person singular past indicative of nebūt	/ˈnebija/
147	labāk	better; adverbial form of labāks	/ˈlabaːːk/
148	dēļ	because of	[ˈdɛ̄ːʎ]
149	lieliski	great, wonderful, excellent, wonderfully, excellently;…	/ˈlielːiski/
150	kāda	what, what kind	/ˈkaːda/
151	teica	to say, to tell	/ˈteit͡sa/
152	biju	was; first-person singular past indicative of būt	/ˈbiju/
153	šķiet	to seem	/ˈʃciet/
154	laiku	time, era	/ˈlaiku/
155	nekā	than	/neˈkaː/
156	sveiks	safe; unharmed despite adverse circumstances	[svɛ̀jks]
157	mājās	house, dwelling	/ˈmaːjaːs/
158	tātad	so	/ˈtaːtad/
159	neviens	nobody	/neˈʋiens/
160	piedod	I'm sorry	/ˈpieduod/
161	zināt	to know	[zinâːt]
162	atkal	again	/ˈatkal/
163	iekšā	in, inside	/ˈiekʃaː/
164	laiks	time, era	[ˈɫāī̯ks̪]
165	nevar	to not be able to; negative form of varēt	/ˈneʋar/
166	pagaidi	to wait for a while	/ˈpaɡaidi/
167	viņus	them; accusative plural of viņi	/ˈʋiɲus/
168	ejam	to go, to walk	/ˈejam/
169	tāds	such	[ˈtâːt͡s]
170	trīs	three	[triːs]
171	teicu	first-person singular present/past indicative of teikt	/ˈteit͡su/
172	runā	to speak, to talk	/ˈrunaː/
173	manis	of me; genitive singular of es	/ˈmanis/
174	cilvēki	person, human being	/ˈt͡sillʋæːki/
175	ei	used to stimulate somebody's attention	/ˈei/
176	darīt	to do	[darîːt]
177	neesi	are not; second-person singular present indicative of nebūt	/ˈneesi/
178	pārāk	too	/ˈpaːraːːk/
179	labs	good following accepted moral rules, treating others in a…	/ˈlabs/
180	varam	being able to; adverbial object-of-perception present…	/ˈʋaram/
181	tevis	of you; genitive singular of tu	/ˈteʋis/
182	visiem	all, whole, entire	/ˈʋisiem/
183	sauc	to call, to cry	/sauts/
184	velns	the Devil; Satan	[ˈvǣlns]
185	cilvēks	person, human being	[ˈt͡sìlvǣːks]
186	draugs	friend	[drà͜ʊks̪]
187	laika	time, era	/ˈlaika/
188	sevi	-self, with -self; reflexive pronoun, accusative and…	/ˈseʋi/
189	ārā	out, outside	/ˈaːraː/
190	viena	one	/ˈʋieːna/
191	naudu	money	/ˈnaudu/
192	taisnība	justice	/taisniːbɑ/
193	tos	those; accusative plural masculine of tas	/ˈtuos/
194	tēvs	father	[ˈtǣːws]
195	skaidrs	clean, clear, bright, without clouds	[skāīdrs]
196	šurp	here	/ˈʃurp/
197	laikā	in time	/ˈlaikaː/
198	šodien	today	[ˈʃuɔ̯d̪iɛn̪]
199	notika	to happen	/nuotikɑ/
200	lietas	thing	/ˈlietas/
201	citu	another	/ˈt͡situ/
202	tajā	in that; locative singular masculine of tas	/ˈtajaː/
203	kuru	which, who	/ˈkuru/
204	atvainojiet	sorry	/ˈatʋaiːnuojiet/
205	teikt	to say, to tell	[tɛ̀ikt]
206	grib	to want	/ˈɡrib/
207	šīs	of this; genitive singular feminine of šis	/ˈʃiːs/
208	šajā	in this; locative singular masculine of šis	/ˈʃajaː/
209	nozīmē	meaning	/nuoziːmeː/
210	tādu	such	/ˈtaːdu/
211	dienu	day	/ˈdieːnu/
212	izskatās	to look	[isːkataːs]
213	kam	who, what	/ˈkam/
214	vecīt	pop	/ˈʋet͡siːt/
215	mīlu	love	/ˈmiːlu/
216	vajadzētu	to be necessary, to be needed, to be desired	/ˈʋa`ja`dzeːtu/
217	laikam	probably	/ˈlaikam/
218	žēl	used with verbs būt, tikt, tapt and kļūt to express pity	[ˈʒǣːl]
219	tāda	such	/ˈtaːda/
220	tāpat	just	/taːˈpat/
221	redzēt	to see	[ɾɛdzɛ̂ːt]
222	jābūt	to be, to exist	/ˈjaːbuːt/
223	bijis	having been; indefinite past active participle of būt	/ˈbijis/
224	noteikti	definitely	/ˈnuoteikti/
225	negribu	to not want; negative form of gribēt	/ˈneɡribu/
226	manas	my, mine	/ˈmanas/
227	tūlīt	at once	/ˈtuːliːt/
228	kādēļ	why	/ˈkaːdeːʎ/
229	iespējams	possible	/ˈiespeːjams/
230	divi	two	[divi]
231	savas	own; used with all persons	/ˈsaʋas/
232	kamēr	while	/ˈkameːr/
233	joprojām	still, on, forth	[jùoˈpɾuôjāːm]
234	tika	to arrive at	/ˈtika/
235	zina	to know	/ˈzina/
236	cilvēku	person, human being	/ˈt͡sillʋæːku/
237	palīdzēt	to help, to help out, to aid, to assist	[palīːdzɛ̂ːt]
238	visus	all, whole, entire	/ˈʋisus/
239	gatavs	ready	[ˈɡatːaws]
240	vietā	instead	/ˈʋietaː/
241	tikko	faintly	/ˈtikkuo/
242	saki	to say, tell	/ˈsaki/
243	nevajag	to not be necessary, to not be needed; negative form of…	/ˈneʋa`ja`ɡ/
244	ātrāk	faster, more quickly: adverbial form of ātrāks	/ˈaːtraːːk/
245	līdzi	used to indicate somebody move together with someone else	/ˈliːdzi/
246	pareizi	right, correct, rightly, correctly; adverbial form of…	/ˈpareizi/
247	ilgi	long; adverbial form of ilgs	/ˈillɡi/
248	ātri	fast, quick, quickly; adverbial form of ātrs	/ˈaːtri/
249	lieta	thing	[ˈlìɛta]
250	nebūtu	to not be; negative form of būt	/ˈnebuːtu/
251	redzi	to see	/ˈredzi/
252	manā	my, mine	/ˈmanaː/
253	darbu	work, job, business	/ˈdarbu/
254	sveiki	safe; unharmed despite adverse circumstances	/sveiki/
255	paskaties	to look	/ˈpaskaties/
256	vajadzīgs	necessary	/ˈʋa`ja`dziːɡs/
257	gadu	year	/ˈɡadu/
258	sveika	safe; unharmed despite adverse circumstances	/ˈsʋeika/
259	visas	all, whole, entire	/ˈʋisas/
260	jauki	nice, pleasant, nicely, pleasantly; adverbial form of jauks	/ˈjauki/
261	tiem	to those; dative plural masculine of tas	/ˈtiem/
262	beidz	to finish	/ˈbeidz/
263	noticis	to happen	/ˈnuotit͡sis/
264	saka	to say, tell	/ˈsaka/
265	nebūs	will not be; third-person singular future indicative of…	/ˈnebuːs/
266	dēls	son	[ˈdæ̂ːls]
267	katru	every	/ˈkatru/
268	mamma	mum	[ˈmamːa]
269	starp	used to locate an object in the space defined by two…	[staɾp]
270	galā	tip, end	/ˈɡalaː/
271	velna	the Devil; Satan	/ˈʋællna/
272	gandrīz	almost	/ˈɡaŋdriːz/
273	tiek	to arrive at	/ˈtiek/
274	droši	bravely, safely, surely; adverbial form of drošs	/ˈdruoʃi/
275	gribēju	to want	/ˈɡribeːju/
276	gadus	year	/ˈɡadus/
277	pateikt	to say	/ˈpateikt/
278	nedaudz	a little	/ˈnedaudz/
279	rokas	hand, arm	/ˈruokas/
280	vārdu	name	/ˈʋaːrdu/
281	lūk	look! there it is!	[ˈlūːk]
282	aiz	behind	[àjs]
283	ļauj	to allow	/ˈʎauj/
284	augšā	up, upward	/ˈauɡʃaː/
285	it	used to assign accentuation to expression	/ˈit/
286	gribētu	to want	/ˈɡribæːtu/
287	laba	good following accepted moral rules, treating others in a…	/ˈlaba/
288	biji	were; second-person singular past indicative of būt	/ˈbiji/
289	dienas	day	/ˈdieːnas/
290	sev	to -self; dative singular of sevi	/ˈseʋ/
291	skaties	to look at	/ˈskaties/
292	rīt	tomorrow	[ˈɾīːt]
293	teici	to say, to tell	/ˈteit͡si/
294	vārds	name	[vàːɾds]
295	dara	to do	/ˈdara/
296	kundze	gentleman	/ˈkuŋdze/
297	gadiem	year	/ˈɡadiem/
298	dod	to give	/ˈduod/
299	savā	own; used with all persons	/ˈsaʋaː/
300	liels	big, large	[ˈlīɛ̄ls]
301	diena	day	[ˈdìɛna]
302	lietu	thing	/ˈlietu/
303	būšu	will be; first-person singular future indicative of būt	/ˈbuːʃu/
304	dzīvi	living, alive; adverbial form of dzīvs	/ˈdziːʋi/
305	vietu	place, spot, site	/ˈʋietu/
306	klāt	to cover, to spread	/ˈklaːt/
307	pāris	pair	/ˈpaːris/
308	reizi	time	/ˈreizi/
309	vieta	place, spot, site	/ˈʋieta/
310	darba	work, job, business	/ˈdarba/
311	tēt	alternative form of tēti	/ˈteːt/
312	jāiet	to go, to walk	/ˈjaːiet/
313	mīļā	dear, cherished, beloved	/ˈmiːʎaː/
314	mazliet	a bit of	/maˈzliet/
315	vaļā	open	/ˈʋaʎaː/
316	darbs	work, job, business	[ˈdâɾps]
